method,tone_count,nuisance_case,one_sigma_floor_c,three_sigma_floor_c,one_sigma_to_train_q05_q95_range,one_sigma_to_test_q05_q95_range,identifiable,target_condition_number,nuisance_count,median_snr_db,q05_snr_db,q95_snr_db
d_optimal_default,128,offset_gas_pm_background_scale,2.9479211658769207,8.843763497630762,0.07103424496088966,0.0690379664139794,True,1.0,8,18.56914473621243,3.2142848838207314,23.626293260973323
d_optimal_strict,128,ideal_target_only,0.14872477660483116,0.44617432981449345,0.0035837295567429195,0.003483015845546397,True,1.0,0,14.407488721253365,1.686141914161351,23.620353822998702
d_optimal_strict,128,offset_gas_pm,0.3075895167860967,0.9227685503582901,0.007411795585207149,0.007203501564077205,True,1.0,7,14.407488721253365,1.686141914161351,23.620353822998702
d_optimal_strict,128,offset_gas_pm_background_scale,0.776470493623815,2.3294114808714452,0.01871013237647747,0.01818432069376616,True,1.0,8,14.407488721253365,1.686141914161351,23.620353822998702
uniform,256,ideal_target_only,0.1963036721962623,0.5889110165887869,0.004730208968584634,0.004597275695462817,True,1.0,0,14.80630537438283,-77.64661439199448,20.582426658673523
uniform,256,offset_gas_pm,0.3828573738416832,1.1485721215250497,0.009225478887751402,0.008966214844067523,True,1.0,7,14.80630537438283,-77.64661439199448,20.582426658673523
uniform,256,offset_gas_pm_background_scale,1.1258380372780472,3.3775141118341416,0.027128627404290295,0.0263662303812189,True,1.0,8,14.80630537438283,-77.64661439199448,20.582426658673523
d_optimal_default,256,ideal_target_only,0.1443841682311109,0.43315250469333266,0.00347913658388219,0.0033813622536559926,True,1.0,0,16.70184975908949,2.5726458530449676,20.63853646732259
d_optimal_default,256,offset_gas_pm,0.2904327402830663,0.871298220849199,0.006998379283929309,0.0068017035195097495,True,1.0,7,16.70184975908949,2.5726458530449676,20.63853646732259
d_optimal_default,256,offset_gas_pm_background_scale,2.5411470424863225,7.6234411274589675,0.06123245885509211,0.05951164033925813,True,1.0,8,16.70184975908949,2.5726458530449676,20.63853646732259
d_optimal_strict,256,ideal_target_only,0.1460837628897488,0.43825128866924645,0.00352009067204214,0.00342116540725407,True,1.0,0,15.473804059261042,0.9695109508675834,20.63853646732259
d_optimal_strict,256,offset_gas_pm,0.29776714678127497,0.8933014403438249,0.007175111970633132,0.006973469479655151,True,1.0,7,15.473804059261042,0.9695109508675834,20.63853646732259
d_optimal_strict,256,offset_gas_pm_background_scale,0.8476500667363803,2.542950200209141,0.020425302812924827,0.019851289619118976,True,1.0,8,15.473804059261042,0.9695109508675834,20.63853646732259
