case_id,split,target,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
training_prior__pilot_power_residual__uniform__k32,validation,SO2,15.967312655883951,0.23831809934155151,-0.13130722209343837,5.42414360074829
training_prior__pilot_power_residual__uniform__k32,validation,NO2,36.087361970025995,0.33726506514042986,-0.0005157964275053217,-0.05977406415493667
training_prior__pilot_power_residual__uniform__k32,validation,PM2.5,92.62605236100022,0.4228534688929492,-0.0019226158496845613,-3.4414950342658615
training_prior__pilot_power_residual__uniform__k32,validation,PM10,99.67557869403498,0.37755901020467797,-0.004644794589641288,6.485883829257537
training_prior__pilot_power_residual__uniform__k32,validation,macro,,0.3490084078037515,-0.043894521636827055,
training_prior__pilot_power_residual__physics_d_optimal__k32,validation,CO,1343.8094825689113,0.4479364941896371,-0.010871277749724406,-134.89998613338997
training_prior__pilot_power_residual__physics_d_optimal__k32,validation,O3,49.98105567917575,0.27016786853608515,-0.1142814887420378,16.00085810842474
training_prior__pilot_power_residual__physics_d_optimal__k32,validation,SO2,15.972641127122904,0.23839762876302842,-0.13206240788504808,5.423462011562935
training_prior__pilot_power_residual__physics_d_optimal__k32,validation,NO2,36.085540030056706,0.33724803766408135,-0.00041477304402093296,-0.05803915858250839
training_prior__pilot_power_residual__physics_d_optimal__k32,validation,PM2.5,92.63417473723315,0.4228905489031429,-0.002098340692640699,-3.4385485495189867
training_prior__pilot_power_residual__physics_d_optimal__k32,validation,PM10,99.68813391570855,0.3776065678625324,-0.004897902375331498,6.4884988988410095
training_prior__pilot_power_residual__physics_d_optimal__k32,validation,macro,,0.3490411909864179,-0.044104365081467235,
training_prior__pilot_power_residual__prior_d_optimal__k32,validation,CO,1343.8188622520215,0.44793962075067384,-0.010885389400913326,-134.8969722584602
training_prior__pilot_power_residual__prior_d_optimal__k32,validation,O3,49.97962505092125,0.27016013541038514,-0.11421770058290459,16.000233720496382
training_prior__pilot_power_residual__prior_d_optimal__k32,validation,SO2,15.973854276940964,0.2384157354767308,-0.13223437862524268,5.422735117315128
training_prior__pilot_power_residual__prior_d_optimal__k32,validation,NO2,36.086375859786514,0.33725584915688334,-0.0004611177068807315,-0.05815809830768783
training_prior__pilot_power_residual__prior_d_optimal__k32,validation,PM2.5,92.63363499769044,0.42288808490157836,-0.002086663133554545,-3.4387256955856804
training_prior__pilot_power_residual__prior_d_optimal__k32,validation,PM10,99.68274876418926,0.37758616956132296,-0.004789336168144143,6.4880923145942475
training_prior__pilot_power_residual__prior_d_optimal__k32,validation,macro,,0.34904093254292906,-0.04411243093627334,
training_prior__pilot_power_residual__bayesian_a_optimal__k32,validation,CO,1343.5325304352655,0.44784417681175515,-0.010454650078329575,-134.74166346028238
training_prior__pilot_power_residual__bayesian_a_optimal__k32,validation,O3,49.979142370913486,0.2701575263292621,-0.11419617949262606,15.999544321739645
