target,elevation_deg,n_pilots,residual_error_std_db,detection_floor_1sigma_ug_m3,detection_floor_1sigma_ppm,detection_floor_3sigma_ug_m3,detection_floor_3sigma_ppm,who_2021_guideline_ug_m3,who_averaging_period,floor_to_guideline_ratio,floor_3sigma_to_guideline_ratio,median_snr_db,q05_snr_db,q95_snr_db,identifiable,condition_number,assumption,sensitivity_variable,sensitivity_value,tone_count,tx_power_dbm
PM2.5,30.0,30,0.63,1164548.5810517245,,3493645.7431551735,,15.0,24 h,77636.57207011497,232909.7162103449,11.59644762683866,-112.54077083161528,17.827385485759123,True,1.0,optimistic single fine mode CRB,elevation_deg,30.0,256,23.0
PM10,30.0,30,0.63,1216791.1325177946,,3650373.397553384,,45.0,24 h,27039.80294483988,81119.40883451964,11.59644762683866,-112.54077083161528,17.827385485759123,True,1.0,"optimistic fixed composition PM10 CRB, fine fraction 0.7681",elevation_deg,30.0,256,23.0
CO,45.0,30,0.63,83015.25370819312,71.87990352901822,249045.76112457935,215.63971058705465,4000.0,24 h,20.753813427048282,62.261440281144836,14.973941727146226,-70.80003193565044,20.639047159449355,True,775.433848828758,joint gas CRB with background and PM spectral nuisance,elevation_deg,45.0,256,23.0
O3,45.0,30,0.63,28099.068670478267,14.194414189917696,84297.2060114348,42.58324256975309,100.0,8 h,280.99068670478266,842.972060114348,14.973941727146226,-70.80003193565044,20.639047159449355,True,775.433848828758,joint gas CRB with background and PM spectral nuisance,elevation_deg,45.0,256,23.0
SO2,45.0,30,0.63,4307.559672121383,1.632445453895349,12922.679016364149,4.8973363616860475,40.0,24 h,107.68899180303458,323.06697540910375,14.973941727146226,-70.80003193565044,20.639047159449355,True,775.433848828758,joint gas CRB with background and PM spectral nuisance,elevation_deg,45.0,256,23.0
NO2,45.0,30,0.63,64426.6145279961,33.95495960495675,193279.8435839883,101.86487881487025,25.0,24 h,2577.0645811198438,7731.193743359531,14.973941727146226,-70.80003193565044,20.639047159449355,True,775.433848828758,joint gas CRB with background and PM spectral nuisance,elevation_deg,45.0,256,23.0
PM2.5,45.0,30,0.63,1513315.322482355,,4539945.967447065,,15.0,24 h,100887.68816549033,302663.06449647096,14.973941727146226,-70.80003193565044,20.639047159449355,True,1.0,optimistic single fine mode CRB,elevation_deg,45.0,256,23.0
PM10,45.0,30,0.63,1581204.05182946,,4743612.15548838,,45.0,24 h,35137.867818432445,105413.60345529734,14.973941727146226,-70.80003193565044,20.639047159449355,True,1.0,"optimistic fixed composition PM10 CRB, fine fraction 0.7681",elevation_deg,45.0,256,23.0
CO,60.0,30,0.63,100663.06995084033,87.16050886786725,301989.209852521,261.48152660360176,4000.0,24 h,25.165767487710085,75.49730246313025,16.828192810884936,-51.84474738968669,22.371376698156833,True,798.154016145978,joint gas CRB with background and PM spectral nuisance,elevation_deg,60.0,256,23.0
O3,60.0,30,0.63,33474.86697022002,16.910031157969005,100424.60091066005,50.73009347390702,100.0,8 h,334.74866970220023,1004.2460091066006,16.828192810884936,-51.84474738968669,22.371376698156833,True,798.154016145978,joint gas CRB with background and PM spectral nuisance,elevation_deg,60.0,256,23.0
SO2,60.0,30,0.63,5142.2653938621415,1.9487757347304555,15426.796181586426,5.8463272041913665,40.0,24 h,128.55663484655355,385.66990453966065,16.828192810884936,-51.84474738968669,22.371376698156833,True,798.154016145978,joint gas CRB with background and PM spectral nuisance,elevation_deg,60.0,256,23.0
NO2,60.0,30,0.63,75519.21193231078,39.80112581339353,226557.63579693233,119.4033774401806,25.0,24 h,3020.7684772924313,9062.305431877294,16.828192810884936,-51.84474738968669,22.371376698156833,True,798.154016145978,joint gas CRB with background and PM spectral nuisance,elevation_deg,60.0,256,23.0
PM2.5,60.0,30,0.63,1802849.5715235984,,5408548.714570795,,15.0,24 h,120189.97143490656,360569.91430471966,16.828192810884936,-51.84474738968669,22.371376698156833,True,1.0,optimistic single fine mode CRB,elevation_deg,60.0,256,23.0
PM10,60.0,30,0.63,1883727.0657628563,,5651181.197288569,,45.0,24 h,41860.60146139681,125581.80438419043,16.828192810884936,-51.84474738968669,22.371376698156833,True,1.0,"optimistic fixed composition PM10 CRB, fine fraction 0.7681",elevation_deg,60.0,256,23.0
CO,80.0,30,0.63,114057.83697947492,98.75855282731013,342173.51093842473,296.27565848193035,4000.0,24 h,28.51445924486873,85.54337773460618,18.112770804978517,-41.487994581928774,23.492893055758703,True,808.6751754221432,joint gas CRB with background and PM spectral nuisance,elevation_deg,80.0,256,23.0
O3,80.0,30,0.63,37612.29696817476,19.000078901596243,112836.89090452429,57.00023670478873,100.0,8 h,376.12296968174763,1128.3689090452428,18.112770804978517,-41.487994581928774,23.492893055758703,True,808.6751754221432,joint gas CRB with background and PM spectral nuisance,elevation_deg,80.0,256,23.0
SO2,80.0,30,0.63,5768.672478595769,2.186166618571108,17306.017435787304,6.5584998557133245,40.0,24 h,144.21681196489422,432.6504358946826,18.112770804978517,-41.487994581928774,23.492893055758703,True,808.6751754221432,joint gas CRB with background and PM spectral nuisance,elevation_deg,80.0,256,23.0
NO2,80.0,30,0.63,84049.26609420156,44.296746864057845,252147.7982826047,132.89024059217354,25.0,24 h,3361.9706437680625,10085.911931304188,18.112770804978517,-41.487994581928774,23.492893055758703,True,808.6751754221432,joint gas CRB with background and PM spectral nuisance,elevation_deg,80.0,256,23.0
PM2.5,80.0,30,0.63,2023130.3188575625,,6069390.956572687,,15.0,24 h,134875.35459050417,404626.0637715125,18.112770804978517,-41.487994581928774,23.492893055758703,True,1.0,optimistic single fine mode CRB,elevation_deg,80.0,256,23.0
PM10,80.0,30,0.63,2113888.8792142808,,6341666.637642842,,45.0,24 h,46975.30842698402,140925.92528095204,18.112770804978517,-41.487994581928774,23.492893055758703,True,1.0,"optimistic fixed composition PM10 CRB, fine fraction 0.7681",elevation_deg,80.0,256,23.0
CO,45.0,30,0.63,83015.25370819312,71.87990352901822,249045.76112457935,215.63971058705465,4000.0,24 h,20.753813427048282,62.261440281144836,14.973941727146226,-70.80003193565044,20.639047159449355,True,775.433848828758,joint gas CRB with background and PM spectral nuisance,n_pilots,30.0,256,23.0
O3,45.0,30,0.63,28099.068670478267,14.194414189917696,84297.2060114348,42.58324256975309,100.0,8 h,280.99068670478266,842.972060114348,14.973941727146226,-70.80003193565044,20.639047159449355,True,775.433848828758,joint gas CRB with background and PM spectral nuisance,n_pilots,30.0,256,23.0
SO2,45.0,30,0.63,4307.559672121383,1.632445453895349,12922.679016364149,4.8973363616860475,40.0,24 h,107.68899180303458,323.06697540910375,14.973941727146226,-70.80003193565044,20.639047159449355,True,775.433848828758,joint gas CRB with background and PM spectral nuisance,n_pilots,30.0,256,23.0
