target,rank,frequency_ghz,sensitivity_db_per_ug_m3,background_attenuation_db,snr_db,single_target_fisher_fraction
SO2,7,346.66666666666663,0.00013027160615442386,5.503592109731575,17.842015333753267,0.02269020514002251
SO2,8,353.3333333333333,0.00012687914038858627,7.43975440452601,16.0713035582786,0.021307625971707753
SO2,9,362.66666666666663,0.00013895504410635804,16.221880103197265,7.51563846155517,0.021302689593161606
SO2,10,345.3333333333333,0.00011978858813664083,5.332900294918952,17.979235470774555,0.01919733526133864
NO2,1,396.0,9.69293115195279e-06,18.950519028421844,5.5507504419908855,0.06290506422173048
NO2,2,349.3333333333333,7.607875634261909e-06,6.046802467621576,17.365363842841802,0.052636545715437084
NO2,3,348.0,7.504189221461692e-06,5.740944850801116,17.63800578003297,0.05128140982174533
NO2,4,397.3333333333333,7.46912484621612e-06,16.198098705366252,8.332367060227313,0.04348405107859645
NO2,5,394.66666666666663,8.865699734894805e-06,22.46728894938537,2.004685755861857,0.036256727857696035
NO2,6,398.66666666666663,6.202913307658225e-06,14.003970098788933,10.555594151768133,0.0321624453312249
NO2,7,309.3333333333333,5.562117446735073e-06,3.167411606082603,19.188488575803845,0.028351580443624184
NO2,8,278.66666666666663,5.403303386015037e-06,0.783991686363533,20.665074519925994,0.026869604335392153
NO2,9,277.3333333333333,5.390553375334651e-06,0.7594981079755688,20.647909075348124,0.02674183527522152
NO2,10,292.0,5.219462370958718e-06,1.1694888179682992,20.685533962902525,0.025073533208448257
PM2.5,1,400.0,5.078028068946413e-07,12.227094374665729,12.361471203795986,0.013135025671258424
PM2.5,2,398.66666666666663,5.061101265700538e-07,14.003970098788933,10.555594151768133,0.012585794707464843
PM2.5,3,397.3333333333333,5.044174463028206e-07,16.198098705366252,8.332367060227313,0.0116574539722522
PM2.5,4,356.0,4.51944384429347e-07,8.892465115721508,14.683900595638463,0.010712048414917163
PM2.5,5,354.66666666666663,4.5025170580223834e-07,8.101398489940287,15.442374726749534,0.010702708552684296
PM2.5,6,357.3333333333333,4.5363706310219057e-07,9.84109492444547,13.767741440198776,0.010688213484056996
PM2.5,7,353.3333333333333,4.4855902722052286e-07,7.43975440452601,16.0713035582786,0.010672337400544912
PM2.5,8,352.0,4.468663486838598e-07,6.886512032041379,16.591706989423713,0.010628043136879218
PM2.5,9,358.66666666666663,4.553297418211125e-07,10.985156720788787,12.656029363327804,0.010609433330426658
PM2.5,10,350.66666666666663,4.451736701919096e-07,6.426009444502812,17.019246009360813,0.01057415892469124
PM10,1,400.0,4.860119770817494e-07,12.227094374665729,12.361471203795986,0.013135656109661744
PM10,2,398.66666666666663,4.843917358174421e-07,14.003970098788933,10.555594151768133,0.012586388535287854
PM10,3,397.3333333333333,4.827714972376725e-07,16.198098705366252,8.332367060227313,0.01165799456874895
PM10,4,356.0,4.325453374448677e-07,8.892465115721508,14.683900595638463,0.010712304332811276
PM10,5,354.66666666666663,4.3092517563266625e-07,8.101398489940287,15.442374726749534,0.010702957346594304
PM10,6,357.3333333333333,4.3416550139773985e-07,9.84109492444547,13.767741440198776,0.010688475775839205
PM10,7,353.3333333333333,4.293050159451306e-07,7.43975440452601,16.0713035582786,0.010672578658731538
PM10,8,352.0,4.276848583663158e-07,6.886512032041379,16.591706989423713,0.010628276643519273
PM10,9,358.66666666666663,4.357856675073477e-07,10.985156720788787,12.656029363327804,0.01060970063269289
PM10,10,350.66666666666663,4.2606470288033696e-07,6.426009444502812,17.019246009360813,0.01057438458213101
