section,case,target,metric,value,unit,notes
model_metrics,validation_period_mean_no_thz,SO2,normalized_rmse,0.2026061990335801,dimensionless,
model_metrics,validation_period_mean_no_thz,SO2,r2,-0.061573113074798735,dimensionless,
model_metrics,validation_period_mean_no_thz,SO2,bias,3.2692499999995,ug/m3,
model_metrics,validation_period_mean_no_thz,NO2,mae,28.778758749999625,ug/m3,
model_metrics,validation_period_mean_no_thz,NO2,rmse,36.01344367038503,ug/m3,
model_metrics,validation_period_mean_no_thz,NO2,normalized_rmse,0.33657423991014046,dimensionless,
model_metrics,validation_period_mean_no_thz,NO2,r2,-6.813088207135998e-05,dimensionless,
model_metrics,validation_period_mean_no_thz,NO2,bias,0.29724999999953783,ug/m3,
model_metrics,validation_period_mean_no_thz,PM2.5,mae,61.63233675000029,ug/m3,
model_metrics,validation_period_mean_no_thz,PM2.5,rmse,85.74477737484963,ug/m3,
model_metrics,validation_period_mean_no_thz,PM2.5,normalized_rmse,0.3914392941102484,dimensionless,
model_metrics,validation_period_mean_no_thz,PM2.5,r2,-0.00029230172478333927,dimensionless,
model_metrics,validation_period_mean_no_thz,PM2.5,bias,-1.4657500000000223,ug/m3,
model_metrics,validation_period_mean_no_thz,PM10,mae,68.72214225000008,ug/m3,
model_metrics,validation_period_mean_no_thz,PM10,rmse,94.94187681385637,ug/m3,
model_metrics,validation_period_mean_no_thz,PM10,normalized_rmse,0.3596283212646075,dimensionless,
model_metrics,validation_period_mean_no_thz,PM10,r2,-0.0007355645559987689,dimensionless,
model_metrics,validation_period_mean_no_thz,PM10,bias,2.5739999999989895,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,CO,mae,841.2844469280764,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,CO,rmse,1348.5761468282226,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,CO,normalized_rmse,0.4495253822760742,dimensionless,
model_metrics,physics_lmmse_coherent_csi_residual,CO,r2,-0.014981440203793106,dimensionless,
model_metrics,physics_lmmse_coherent_csi_residual,CO,bias,-168.56849663509828,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,O3,mae,45.283529269472005,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,O3,rmse,57.31136379008792,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,O3,normalized_rmse,0.30979115562209686,dimensionless,
model_metrics,physics_lmmse_coherent_csi_residual,O3,r2,-0.034859224413961165,dimensionless,
model_metrics,physics_lmmse_coherent_csi_residual,O3,bias,10.603715394244189,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,SO2,mae,13.468331976956048,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,SO2,rmse,15.78897728551737,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,SO2,normalized_rmse,0.23565637739578166,dimensionless,
model_metrics,physics_lmmse_coherent_csi_residual,SO2,r2,-0.4361600666346197,dimensionless,
model_metrics,physics_lmmse_coherent_csi_residual,SO2,bias,8.670190127313486,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,NO2,mae,28.746377379742214,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,NO2,rmse,35.997823982542386,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,NO2,normalized_rmse,0.3364282615190877,dimensionless,
model_metrics,physics_lmmse_coherent_csi_residual,NO2,r2,0.0007991765971057108,dimensionless,
model_metrics,physics_lmmse_coherent_csi_residual,NO2,bias,0.21625970001865993,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,PM2.5,mae,60.75121387645399,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,PM2.5,rmse,85.84011116037911,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,PM2.5,normalized_rmse,0.39187450883533165,dimensionless,
model_metrics,physics_lmmse_coherent_csi_residual,PM2.5,r2,-0.002517852195555337,dimensionless,
model_metrics,physics_lmmse_coherent_csi_residual,PM2.5,bias,-4.955508902870863,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,PM10,mae,70.61149358198529,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,PM10,rmse,95.30864301913248,ug/m3,
model_metrics,physics_lmmse_coherent_csi_residual,PM10,normalized_rmse,0.3610175871936836,dimensionless,
model_metrics,physics_lmmse_coherent_csi_residual,PM10,r2,-0.008482302643129325,dimensionless,
model_metrics,physics_lmmse_coherent_csi_residual,PM10,bias,9.006056532544255,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,CO,mae,832.718144396478,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,CO,rmse,1337.005051450077,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,CO,normalized_rmse,0.445668350483359,dimensionless,
model_metrics,physics_lmmse_coherent_csi_zero_residual,CO,r2,0.002361387700381079,dimensionless,
model_metrics,physics_lmmse_coherent_csi_zero_residual,CO,bias,-174.2088765935344,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,O3,mae,45.16975794344174,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,O3,rmse,57.200380762033994,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,O3,normalized_rmse,0.30919124736234593,dimensionless,
model_metrics,physics_lmmse_coherent_csi_zero_residual,O3,r2,-0.030855110817269438,dimensionless,
model_metrics,physics_lmmse_coherent_csi_zero_residual,O3,bias,10.621770889543235,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,SO2,mae,13.29233450796589,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,SO2,rmse,15.894141780069669,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,SO2,normalized_rmse,0.23722599671745775,dimensionless,
model_metrics,physics_lmmse_coherent_csi_zero_residual,SO2,r2,-0.4553552345280143,dimensionless,
model_metrics,physics_lmmse_coherent_csi_zero_residual,SO2,bias,8.490952822943774,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,NO2,mae,28.49684401170912,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,NO2,rmse,35.749701010631654,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,NO2,normalized_rmse,0.33410935523954816,dimensionless,
model_metrics,physics_lmmse_coherent_csi_zero_residual,NO2,r2,0.014526130764739298,dimensionless,
model_metrics,physics_lmmse_coherent_csi_zero_residual,NO2,bias,0.06873670925331678,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,PM2.5,mae,60.24566365138,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,PM2.5,rmse,85.20528544322936,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,PM2.5,normalized_rmse,0.38897642293188606,dimensionless,
model_metrics,physics_lmmse_coherent_csi_zero_residual,PM2.5,r2,0.01225544635965492,dimensionless,
model_metrics,physics_lmmse_coherent_csi_zero_residual,PM2.5,bias,-5.294769893678253,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,PM10,mae,69.96978356427046,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,PM10,rmse,94.62580392621813,ug/m3,
model_metrics,physics_lmmse_coherent_csi_zero_residual,PM10,normalized_rmse,0.35843107547809894,dimensionless,
model_metrics,physics_lmmse_coherent_csi_zero_residual,PM10,r2,0.005916481537634133,dimensionless,
model_metrics,physics_lmmse_coherent_csi_zero_residual,PM10,bias,8.623247275668165,ug/m3,
metric_definition,training_q05_q95,CO,normalization_denominator,3000.0,ug/m3,
metric_definition,training_q05_q95,O3,normalization_denominator,185.0,ug/m3,
metric_definition,training_q05_q95,SO2,normalization_denominator,67.0,ug/m3,
metric_definition,training_q05_q95,NO2,normalization_denominator,107.0,ug/m3,
metric_definition,training_q05_q95,PM2.5,normalization_denominator,219.04999999999927,ug/m3,
metric_definition,training_q05_q95,PM10,normalization_denominator,264.0,ug/m3,
ridge_validation,shared_alpha_grid,macro,alpha_0.01_normalized_rmse,0.3521930266802498,dimensionless,
ridge_validation,per_target_alpha_grid,CO,alpha_0.01_normalized_rmse,0.4505486087482703,dimensionless,
ridge_validation,per_target_alpha_grid,O3,alpha_0.01_normalized_rmse,0.27453025988333624,dimensionless,
ridge_validation,per_target_alpha_grid,SO2,alpha_0.01_normalized_rmse,0.2433551688219894,dimensionless,
ridge_validation,per_target_alpha_grid,NO2,alpha_0.01_normalized_rmse,0.3400698667601879,dimensionless,
ridge_validation,per_target_alpha_grid,PM2.5,alpha_0.01_normalized_rmse,0.4246779880636865,dimensionless,
ridge_validation,per_target_alpha_grid,PM10,alpha_0.01_normalized_rmse,0.37997626780402893,dimensionless,
ridge_validation,shared_alpha_grid,macro,alpha_0.1_normalized_rmse,0.3521929707828752,dimensionless,
ridge_validation,per_target_alpha_grid,CO,alpha_0.1_normalized_rmse,0.4505485625136187,dimensionless,
ridge_validation,per_target_alpha_grid,O3,alpha_0.1_normalized_rmse,0.2745301913389786,dimensionless,
ridge_validation,per_target_alpha_grid,SO2,alpha_0.1_normalized_rmse,0.24335507784225857,dimensionless,
ridge_validation,per_target_alpha_grid,NO2,alpha_0.1_normalized_rmse,0.3400698175157983,dimensionless,
ridge_validation,per_target_alpha_grid,PM2.5,alpha_0.1_normalized_rmse,0.42467795166434436,dimensionless,
ridge_validation,per_target_alpha_grid,PM10,alpha_0.1_normalized_rmse,0.3799762238222525,dimensionless,
ridge_validation,shared_alpha_grid,macro,alpha_1_normalized_rmse,0.35219241188491485,dimensionless,
ridge_validation,per_target_alpha_grid,CO,alpha_1_normalized_rmse,0.45054810022962655,dimensionless,
ridge_validation,per_target_alpha_grid,O3,alpha_1_normalized_rmse,0.2745295059858868,dimensionless,
ridge_validation,per_target_alpha_grid,SO2,alpha_1_normalized_rmse,0.24335416816891428,dimensionless,
ridge_validation,per_target_alpha_grid,NO2,alpha_1_normalized_rmse,0.3400693251397764,dimensionless,
ridge_validation,per_target_alpha_grid,PM2.5,alpha_1_normalized_rmse,0.4246775877211029,dimensionless,
ridge_validation,per_target_alpha_grid,PM10,alpha_1_normalized_rmse,0.37997578406418187,dimensionless,
ridge_validation,shared_alpha_grid,macro,alpha_10_normalized_rmse,0.35218683047488053,dimensionless,
ridge_validation,per_target_alpha_grid,CO,alpha_10_normalized_rmse,0.45054348363479185,dimensionless,
ridge_validation,per_target_alpha_grid,O3,alpha_10_normalized_rmse,0.2745226614918645,dimensionless,
ridge_validation,per_target_alpha_grid,SO2,alpha_10_normalized_rmse,0.2433450838169637,dimensionless,
ridge_validation,per_target_alpha_grid,NO2,alpha_10_normalized_rmse,0.3400644081594145,dimensionless,
