model,split,inference_class,uses_current_weather,uses_true_pollutant_lags,uses_simulated_thz,target,mae_ug_m3,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
calendar and current weather HGB,test,auxiliary context prior,True,False,False,O3,21.025765701453,29.258424086086904,0.15815364370857787,0.7302871426757249,2.8142492048908254
calendar and current weather HGB,test,auxiliary context prior,True,False,False,SO2,12.947783273156576,19.3892037152684,0.2893911002278866,-1.1657822701203875,11.273111005634615
calendar and current weather HGB,test,auxiliary context prior,True,False,False,NO2,18.611014077493483,24.27142815086272,0.22683577711086655,0.5457541714553105,4.547061668556886
calendar and current weather HGB,test,auxiliary context prior,True,False,False,PM2.5,47.33407846070666,69.02897714397132,0.31512886164789566,0.3517023481214997,10.421136248041469
calendar and current weather HGB,test,auxiliary context prior,True,False,False,PM10,56.049724558354626,78.4307160153318,0.29708604551262047,0.31707019243383294,17.284704548493703
exact one hour persistence with true past labels,validation,one hour forecast with ground truth lag,False,True,False,CO,196.92545916666666,451.17471995213356,0.15039157331737785,0.8860511440748466,-10.589884166666668
exact one hour persistence with true past labels,validation,one hour forecast with ground truth lag,False,True,False,O3,8.792623021316665,15.268060505369473,0.08253005678578093,0.896019521732642,0.6948450783833328
exact one hour persistence with true past labels,validation,one hour forecast with ground truth lag,False,True,False,SO2,2.47524856105,5.792531216471031,0.08645568979807508,0.8511140669789532,0.05757130045
exact one hour persistence with true past labels,validation,one hour forecast with ground truth lag,False,True,False,NO2,7.471946329783334,12.240661947699355,0.11439870979158276,0.8848872348043537,-0.3257399471166664
exact one hour persistence with true past labels,validation,one hour forecast with ground truth lag,False,True,False,PM2.5,11.79712965625,28.796815185089464,0.1314622925591854,0.9031595524910915,-0.34798381041666665
exact one hour persistence with true past labels,validation,one hour forecast with ground truth lag,False,True,False,PM10,17.209303585416666,35.913224478570086,0.13603494120670487,0.8695801167527295,-0.39200152291666673
exact one hour persistence with true past labels,test,one hour forecast with ground truth lag,False,True,False,CO,204.66426249999998,481.89336152852724,0.1606311205095091,0.8703987946926096,-9.459670833333336
exact one hour persistence with true past labels,test,one hour forecast with ground truth lag,False,True,False,O3,10.851102249916666,18.261146892787348,0.09870890212317486,0.8949355264186132,0.5352061069166658
exact one hour persistence with true past labels,test,one hour forecast with ground truth lag,False,True,False,SO2,1.98971869785,5.3974091310409325,0.0805583452394169,0.8321715723851218,0.21654143725
exact one hour persistence with true past labels,test,one hour forecast with ground truth lag,False,True,False,NO2,7.694016968050001,13.184102754444574,0.12321591359293994,0.8659701771867376,-0.08759867058333302
exact one hour persistence with true past labels,test,one hour forecast with ground truth lag,False,True,False,PM2.5,11.44268151875,24.82538480863958,0.11333204660415276,0.9161499066608281,-0.3815121770833333
exact one hour persistence with true past labels,test,one hour forecast with ground truth lag,False,True,False,PM10,17.264027652083332,32.29502760311613,0.12232965001180353,0.8842089401430975,-0.0777644895833331
multilag HGB with true past labels,validation,auxiliary nowcast with ground truth lags,True,True,False,CO,192.55323030689544,397.09583737171675,0.13236527912390558,0.9117304071701637,8.289711382019672
multilag HGB with true past labels,validation,auxiliary nowcast with ground truth lags,True,True,False,O3,6.762546318391756,10.91083887647252,0.058977507440392,0.9468992871933727,-0.14485481918748785
multilag HGB with true past labels,validation,auxiliary nowcast with ground truth lags,True,True,False,SO2,2.612378079562307,5.1916188051723156,0.07748684783839277,0.880402391700416,0.7552279009608762
multilag HGB with true past labels,validation,auxiliary nowcast with ground truth lags,True,True,False,NO2,6.652345569073355,10.259498003153674,0.09588315890797826,0.9191340112906362,0.36318695816384583
multilag HGB with true past labels,validation,auxiliary nowcast with ground truth lags,True,True,False,PM2.5,11.614468414287291,26.25119987422157,0.1198411315874077,0.9195240361763002,-0.21332860689993796
multilag HGB with true past labels,validation,auxiliary nowcast with ground truth lags,True,True,False,PM10,17.13331101546635,32.9642891507959,0.12486473163180264,0.8901190421051103,1.2759948885394374
multilag HGB with true past labels,test,auxiliary nowcast with ground truth lags,True,True,False,CO,210.9741487573597,451.35737682373934,0.15045245894124645,0.8863031996425256,3.324747884708414
multilag HGB with true past labels,test,auxiliary nowcast with ground truth lags,True,True,False,O3,8.230379343628007,13.361238868031107,0.07222291280016814,0.943753792404278,0.4932391892402133
multilag HGB with true past labels,test,auxiliary nowcast with ground truth lags,True,True,False,SO2,2.204952929140482,5.331911234035291,0.07958076468709391,0.8362200749225039,0.8350428160470247
multilag HGB with true past labels,test,auxiliary nowcast with ground truth lags,True,True,False,NO2,6.916369057586746,11.289537392511225,0.10550969525711425,0.9017228445249444,0.0007675799695047943
multilag HGB with true past labels,test,auxiliary nowcast with ground truth lags,True,True,False,PM2.5,10.924847785345996,22.407162177739878,0.10229245458908903,0.9316898424063683,0.003349654061131673
multilag HGB with true past labels,test,auxiliary nowcast with ground truth lags,True,True,False,PM10,16.9241921719737,30.883839089969246,0.11698423897715624,0.8941072392438174,0.39240960808083425
simulated THz spectral Ridge,validation,same time simulated THz inversion,False,False,True,CO,900.685370774555,1343.3582612031155,0.4477860870677052,-0.010192535493628085,-135.14472879429462
simulated THz spectral Ridge,validation,same time simulated THz inversion,False,False,True,O3,40.32216183128544,49.98927436707917,0.2702122938761036,-0.11464797498827672,16.00585561626366
simulated THz spectral Ridge,validation,same time simulated THz inversion,False,False,True,SO2,13.003638404188406,15.956940237011095,0.23816328711956858,-0.129837897694969,5.4239122307280585
simulated THz spectral Ridge,validation,same time simulated THz inversion,False,False,True,NO2,28.545748433163503,36.07803365266262,0.3371778846043235,1.3886530382256623e-06,-0.06059203887490003
simulated THz spectral Ridge,validation,same time simulated THz inversion,False,False,True,PM2.5,65.67648262154887,92.5888045187539,0.42268342624402744,-0.0011169688222005814,-3.432086373825771
simulated THz spectral Ridge,validation,same time simulated THz inversion,False,False,True,PM10,74.84096069003624,99.64637678914107,0.3774483969285647,-0.004056220244238462,6.481742814215204
simulated THz spectral Ridge,test,same time simulated THz inversion,False,False,True,CO,841.8536668062922,1348.7046662798828,0.4495682220932943,-0.015174905102571357,-167.8055169596826
simulated THz spectral Ridge,test,same time simulated THz inversion,False,False,True,O3,45.334621332529245,57.35283195678199,0.31001530787449727,-0.03635733010509057,10.625221378599662
simulated THz spectral Ridge,test,same time simulated THz inversion,False,False,True,SO2,13.47942096910645,15.779714430243278,0.23551812582452653,-0.43447546852349617,8.69053634728351
simulated THz spectral Ridge,test,same time simulated THz inversion,False,False,True,NO2,28.766539570878773,36.0111541080588,0.33655284213139064,5.902416327374649e-05,0.2247359443903024
simulated THz spectral Ridge,test,same time simulated THz inversion,False,False,True,PM2.5,60.75681603614983,85.85213978770281,0.39192942153710614,-0.0027988340900062525,-4.896388459455671
simulated THz spectral Ridge,test,same time simulated THz inversion,False,False,True,PM10,70.65405662634491,95.32426079727526,0.36107674544422447,-0.00881284020666051,9.064941523740275
calendar weather Ridge plus simulated THz,validation,context plus simulated THz ablation,True,False,True,CO,663.3293490304702,993.0485121919135,0.3310161707306378,0.44797164690488744,39.055190710205245
calendar weather Ridge plus simulated THz,validation,context plus simulated THz ablation,True,False,True,O3,25.39851660637826,32.748927958003776,0.17702123220542582,0.5216142421054704,-2.515086775265996
calendar weather Ridge plus simulated THz,validation,context plus simulated THz ablation,True,False,True,SO2,14.746375285308266,18.15648687688104,0.27099234144598566,-0.46278514463901366,11.135494254234501
calendar weather Ridge plus simulated THz,validation,context plus simulated THz ablation,True,False,True,NO2,20.73344674592746,26.412626914469424,0.24684698050906004,0.46403445448387537,4.928887475343894
calendar weather Ridge plus simulated THz,validation,context plus simulated THz ablation,True,False,True,PM2.5,49.44108674051778,71.66286781094986,0.3271530144302675,0.4002693604362628,3.6959610010013115
calendar weather Ridge plus simulated THz,validation,context plus simulated THz ablation,True,False,True,PM10,59.21253577619443,82.10530940566211,0.31100495986993226,0.318324805238936,14.457323212432483
calendar weather Ridge plus simulated THz,test,context plus simulated THz ablation,True,False,True,CO,655.5217896116324,1022.4179220545514,0.3408059740181838,0.41660317571637595,45.399400824868756
calendar weather Ridge plus simulated THz,test,context plus simulated THz ablation,True,False,True,O3,29.444133321372817,37.59976454842239,0.20324197053201293,0.5545796655580386,0.8163314012358042
calendar weather Ridge plus simulated THz,test,context plus simulated THz ablation,True,False,True,SO2,13.462394291503358,17.741209854103452,0.2647941769269172,-0.8132651423151596,10.720198952533869
calendar weather Ridge plus simulated THz,test,context plus simulated THz ablation,True,False,True,NO2,19.842503624623596,25.65536189099935,0.23976973729905937,0.49247601027913923,3.6820738080844504
calendar weather Ridge plus simulated THz,test,context plus simulated THz ablation,True,False,True,PM2.5,47.657263548736466,67.58684798490107,0.30854530009085274,0.3785074054211478,5.872807163450725
calendar weather Ridge plus simulated THz,test,context plus simulated THz ablation,True,False,True,PM10,55.72495792240767,78.19726141486717,0.29620174778358777,0.32112971991168815,13.85148728679372
