model,split,model_role,uses_current_other_station_targets,uses_query_current_targets,uses_query_pollutant_lags,target,mae_ug_m3,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
other_station_current_mean,test,spatial aggregate control,True,False,False,NO2,14.210282783189058,19.74710026075031,0.18455233888551692,0.6993183342827363,0.14254984668109646
other_station_current_mean,test,spatial aggregate control,True,False,False,PM2.5,17.104246870490673,30.19703184936573,0.13785451654583808,0.8759376262875599,-0.6934577651515161
other_station_current_mean,test,spatial aggregate control,True,False,False,PM10,23.52144033189034,38.47674080043707,0.14574523030468586,0.835638436306837,-1.3162471139971108
one_hour_network_delta_transfer,validation,spatial change transfer control,True,False,True,CO,170.3894327200577,339.3513076539606,0.1131171025513202,0.9355356647949503,-3.5924882756132743
one_hour_network_delta_transfer,validation,spatial change transfer control,True,False,True,O3,5.519359181096681,9.428781861536544,0.05096638844073808,0.9603452475958105,0.14146518759018756
one_hour_network_delta_transfer,validation,spatial change transfer control,True,False,True,SO2,2.034999765512265,4.0594992728818715,0.06058954138629659,0.9268756806027406,-0.06737766955266956
one_hour_network_delta_transfer,validation,spatial change transfer control,True,False,True,NO2,6.285798529942279,9.991868642420345,0.0933819499291621,0.9232979254855893,-0.18933152056277047
one_hour_network_delta_transfer,validation,spatial change transfer control,True,False,True,PM2.5,9.621990160533908,18.26865756483675,0.0833994867146168,0.9610254472696704,0.2542029130591629
one_hour_network_delta_transfer,validation,spatial change transfer control,True,False,True,PM10,14.521184280303029,26.06496666205301,0.09873093432595836,0.9313011678331758,-0.003468876262626253
one_hour_network_delta_transfer,test,spatial change transfer control,True,False,True,CO,186.25082882395384,418.73211266324154,0.1395773708877472,0.9021457505973248,-1.643593975468976
one_hour_network_delta_transfer,test,spatial change transfer control,True,False,True,O3,7.149924386724389,12.482281784990823,0.06747179343238283,0.9509105966143475,0.08645216450216466
one_hour_network_delta_transfer,test,spatial change transfer control,True,False,True,SO2,1.6783851010101014,4.87840499485879,0.07281201484863865,0.8628958659246742,-0.026731277056277057
one_hour_network_delta_transfer,test,spatial change transfer control,True,False,True,NO2,6.770756845238096,11.24420527688309,0.1050860306250756,0.9025105059981756,-0.10257872474747474
one_hour_network_delta_transfer,test,spatial change transfer control,True,False,True,PM2.5,9.449093335137087,18.318924163805818,0.08362896217213366,0.954342565805891,-0.044384947691197725
one_hour_network_delta_transfer,test,spatial change transfer control,True,False,True,PM10,14.850333793290044,26.415312397170418,0.1000580015044334,0.9225332722707982,-0.3536116612554112
spatial_only_ridge,validation,spatial pivot regression,True,False,False,CO,331.8051436256572,549.8512344721225,0.18328374482404083,0.8307569422987539,29.668207001657006
spatial_only_ridge,validation,spatial pivot regression,True,False,False,O3,11.047278463340325,15.38231507102322,0.08314764903255795,0.894457477131303,1.4648570592619021
spatial_only_ridge,validation,spatial pivot regression,True,False,False,SO2,4.818333303395203,7.414281702414095,0.11066092093155365,0.7560757003689417,0.5747095615938466
spatial_only_ridge,validation,spatial pivot regression,True,False,False,NO2,13.030069697318961,17.663962215702643,0.16508375902525835,0.7602879133408291,-1.7658441597746601
spatial_only_ridge,validation,spatial pivot regression,True,False,False,PM2.5,16.718980936784764,29.89229716937432,0.13646335160636575,0.8956514420853773,-0.0997622844946398
spatial_only_ridge,validation,spatial pivot regression,True,False,False,PM10,22.954833983036,36.37364911310531,0.13777897391327767,0.866214590359067,0.5356688251348641
spatial_only_ridge,test,spatial pivot regression,True,False,False,CO,303.85561896753694,538.075681724028,0.17935856057467597,0.8384176639550676,-1.8593460051808388
spatial_only_ridge,test,spatial pivot regression,True,False,False,O3,12.683429583269204,18.47796652311801,0.09988090012496222,0.8924257960817268,0.9669471968991123
spatial_only_ridge,test,spatial pivot regression,True,False,False,SO2,4.39671986742893,7.457082167193674,0.11129973383871154,0.6796441170046099,0.6089576641106803
spatial_only_ridge,test,spatial pivot regression,True,False,False,NO2,11.557350264647258,15.68458781642673,0.1465849328638012,0.8103090963803956,-0.856437852239318
spatial_only_ridge,test,spatial pivot regression,True,False,False,PM2.5,16.225834430792,27.858734331253324,0.12717979607967778,0.8944071927758541,-1.5693745672703263
spatial_only_ridge,test,spatial pivot regression,True,False,False,PM10,22.152206523016837,35.41819441692601,0.13415982733684095,0.8607303308007844,-0.8989695928902843
spatial_causal_ridge,validation,spatial and causal regression,True,False,True,CO,196.52327853254346,373.2334850178339,0.1244111616726113,0.9220202830926552,5.3491347263411555
