scenario,method,tone_count,nuisance_case,target,column_domain,one_sigma_floor_molecules_cm2,three_sigma_floor_molecules_cm2,floor_to_real_q05_q95_range,three_sigma_floor_to_real_q05_q95_range,floor_to_median_retrieval_uncertainty,floor_to_real_median_column,identifiable,target_rank,target_condition_number,median_snr_db,q05_snr_db,q95_snr_db
optimistic_combined,uniform,64,ideal_no_nuisance,CO_total_column,total_column,5.087634969549696e+18,1.5262904908649087e+19,3.7370407548276035,11.211122264482809,36.05555338338409,1.5339212695754767,True,2,2.066689756034599,20.7990308380147,-246.37432299821114,28.727131427205418
optimistic_combined,uniform,64,ideal_no_nuisance,NO2_tropospheric_column,tropospheric_column,4.3064584673379896e+18,1.2919375402013968e+19,231.1478762446193,693.443628733858,2598.3486886658525,330.3284052823558,True,2,2.066689756034599,20.7990308380147,-246.37432299821114,28.727131427205418
optimistic_combined,uniform,64,declared_nuisance,CO_total_column,total_column,5.979844069150999e+18,1.7939532207452996e+19,4.392398654321957,13.17719596296587,42.37854884440929,1.8029221949520775,True,2,2.751534782425872,20.7990308380147,-246.37432299821114,28.727131427205418
optimistic_combined,uniform,64,declared_nuisance,NO2_tropospheric_column,tropospheric_column,9.418318833027238e+18,2.8254956499081716e+19,505.52545962312774,1516.5763788693832,5682.645397567363,722.4354453086822,True,2,2.751534782425872,20.7990308380147,-246.37432299821114,28.727131427205418
optimistic_combined,d_optimal,64,ideal_no_nuisance,CO_total_column,total_column,3.391622927495713e+18,1.0174868782487138e+19,2.4912622821642825,7.473786846492847,24.036087936838488,1.022573863495161,True,2,2.8373200075361367,16.00353942807746,2.812186761265264,28.59743283071771
optimistic_combined,d_optimal,64,ideal_no_nuisance,NO2_tropospheric_column,tropospheric_column,2.756836602686876e+18,8.270509808060629e+18,147.9723839664491,443.9171518993473,1663.3674342354382,211.46411732434586,True,2,2.8373200075361367,16.00353942807746,2.812186761265264,28.59743283071771
optimistic_combined,d_optimal,64,declared_nuisance,CO_total_column,total_column,3.792375685711048e+18,1.1377127057133144e+19,2.785628800010753,8.35688640003226,26.876182116914922,1.1434007670263218,True,2,1.7137494478009816,16.00353942807746,2.812186761265264,28.59743283071771
optimistic_combined,d_optimal,64,declared_nuisance,NO2_tropospheric_column,tropospheric_column,4.822053995641459e+18,1.4466161986924376e+19,258.8223127386601,776.4669382159803,2909.4388744902667,369.87734089312426,True,2,1.7137494478009816,16.00353942807746,2.812186761265264,28.59743283071771
optimistic_combined,uniform,128,ideal_no_nuisance,CO_total_column,total_column,9.787160321280883e+18,2.9361480963842646e+19,7.189001808023879,21.56700542407164,69.36061324126696,2.9508275407751334,True,2,11.821747732702706,17.896379403504184,-298.02768344413636,25.732233327948613
optimistic_combined,uniform,128,ideal_no_nuisance,NO2_tropospheric_column,tropospheric_column,3.1126208535639567e+18,9.33786256069187e+18,167.0689977188523,501.2069931565569,1878.0337426942003,238.7546729185001,True,2,11.821747732702706,17.896379403504184,-298.02768344413636,25.732233327948613
optimistic_combined,uniform,128,declared_nuisance,CO_total_column,total_column,1.1287660540056814e+19,3.386298162017044e+19,8.291170203310639,24.873510609931916,79.99450621190269,3.403228158028296,True,2,3.591670965416075,17.896379403504184,-298.02768344413636,25.732233327948613
optimistic_combined,uniform,128,declared_nuisance,NO2_tropospheric_column,tropospheric_column,6.222529230000005e+18,1.8667587690000015e+19,333.99240403534156,1001.9772121060246,3754.4308827271207,477.3012843287278,True,2,3.591670965416075,17.896379403504184,-298.02768344413636,25.732233327948613
optimistic_combined,d_optimal,128,ideal_no_nuisance,CO_total_column,total_column,3.2713928992480143e+18,9.814178697744044e+18,2.40294924119242,7.20884772357726,23.184029912291503,0.9863245259002651,True,2,3.337790863950577,15.702049922202008,2.051138120578288,25.62250039135215
optimistic_combined,d_optimal,128,ideal_no_nuisance,NO2_tropospheric_column,tropospheric_column,2.0870098759142226e+18,6.261029627742668e+18,112.01963380766482,336.05890142299444,1259.220172548526,160.0848236080679,True,2,3.337790863950577,15.702049922202008,2.051138120578288,25.62250039135215
optimistic_combined,d_optimal,128,declared_nuisance,CO_total_column,total_column,3.640547661955931e+18,1.0921642985867792e+19,2.674105957689378,8.022317873068133,25.800192300750723,1.0976246379703887,True,2,1.3618136837901118,15.702049922202008,2.051138120578288,25.62250039135215
optimistic_combined,d_optimal,128,declared_nuisance,NO2_tropospheric_column,tropospheric_column,3.904555418053357e+18,1.171366625416007e+19,209.5758497167972,628.7275491503915,2355.8561001502944,299.5002911010124,True,2,1.3618136837901118,15.702049922202008,2.051138120578288,25.62250039135215
optimistic_combined,uniform,256,ideal_no_nuisance,CO_total_column,total_column,4.900451039098162e+18,1.4701353117294486e+19,3.5995477977005885,10.798643393101765,34.72899983988089,1.477485339332675,True,2,5.583700440958587,14.74814843037543,-295.13159520261837,22.727136602047693
optimistic_combined,uniform,256,ideal_no_nuisance,NO2_tropospheric_column,tropospheric_column,2.2157265311615107e+18,6.647179593484532e+18,118.92846196039812,356.7853858811944,1336.8827704599796,169.95807973804006,True,2,5.583700440958587,14.74814843037543,-295.13159520261837,22.727136602047693
optimistic_combined,uniform,256,declared_nuisance,CO_total_column,total_column,5.411423292858137e+18,1.623426987857441e+19,3.974874280106646,11.924622840319937,38.35020841383278,1.6315434061744312,True,2,1.553640255729359,14.74814843037543,-295.13159520261837,22.727136602047693
optimistic_combined,uniform,256,declared_nuisance,NO2_tropospheric_column,tropospheric_column,4.5688089484142986e+18,1.3706426845242896e+19,245.2294602172678,735.6883806518034,2756.640712992946,350.4520908342486,True,2,1.553640255729359,14.74814843037543,-295.13159520261837,22.727136602047693
optimistic_combined,d_optimal,256,ideal_no_nuisance,CO_total_column,total_column,3.349045942439266e+18,1.0047137827317797e+19,2.4599880399425156,7.379964119827546,23.734349159038132,1.0097369081390142,True,2,4.820669473809822,15.645252705968382,1.5492426971566111,22.7349303102893
