scenario,method,tone_count,target,detection_floor_1sigma_ug_m3,detection_floor_3sigma_ug_m3,detection_floor_1sigma_ppm,floor_to_guideline_ratio,floor_3sigma_to_guideline_ratio,who_2021_guideline_ug_m3,who_averaging_period,identifiable,target_rank,target_condition_number,median_snr_db,q05_snr_db,q95_snr_db,frequency_min_ghz,frequency_max_ghz,selected_index_count,power_optimization_success,uniform_floor_ratio,gain_over_uniform,equal_d_optimal_floor_ratio,gain_over_equal_d_optimal
reference,uniform_equal,64,NO2,120989.85744105869,362969.5723231761,62.24612959510776,4839.594297642348,14518.782892927044,25.0,24 h,True,4,639.2320269163773,20.839968970258468,-57.58130152580275,26.639033501427797,60.0,400.0,64,,4839.594297642348,1.0,2639.992338165954,0.5454986876590152
reference,d_optimal_equal,64,CO,64371.76555832386,193115.29667497159,54.40896783035696,16.092941389580965,48.278824168742894,4000.0,24 h,True,4,872.7921915467678,18.313634263371803,5.036912582637012,26.612112437083216,70.63538611925709,400.0,64,,31.601405674846713,1.9636811512472405,16.092941389580965,1.0
reference,d_optimal_equal,64,O3,32885.40262973947,98656.2078892184,16.216390419052573,328.8540262973947,986.5620788921841,100.0,8 h,True,4,872.7921915467678,18.313634263371803,5.036912582637012,26.612112437083216,70.63538611925709,400.0,64,,543.4856085997127,1.6526652105156798,328.8540262973947,1.0
reference,d_optimal_equal,64,SO2,4037.861260591574,12113.583781774723,1.493771775450839,100.94653151478936,302.8395945443681,40.0,24 h,True,4,872.7921915467678,18.313634263371803,5.036912582637012,26.612112437083216,70.63538611925709,400.0,64,,188.24909631232117,1.8648396679656238,100.94653151478936,1.0
reference,d_optimal_equal,64,NO2,65999.80845414885,197999.42536244655,33.95518200598428,2639.992338165954,7919.977014497862,25.0,24 h,True,4,872.7921915467678,18.313634263371803,5.036912582637012,26.612112437083216,70.63538611925709,400.0,64,,4839.594297642348,1.8331849784853893,2639.992338165954,1.0
reference,uniform_equal,128,CO,118924.9368218507,356774.8104655521,100.51896208912669,29.731234205462677,89.19370261638802,4000.0,24 h,True,4,862.3344149215134,17.969175614960093,-68.72950513102906,23.639524314085534,60.0,400.0,128,,29.731234205462677,1.0,13.34344346853139,0.4488022049915348
reference,uniform_equal,128,O3,39574.11088687747,118722.33266063241,19.514714168289572,395.7411088687747,1187.223326606324,100.0,8 h,True,4,862.3344149215134,17.969175614960093,-68.72950513102906,23.639524314085534,60.0,400.0,128,,395.7411088687747,1.0,239.99133126686982,0.6064351817097916
reference,uniform_equal,128,SO2,5874.2925191380855,17622.877557414256,2.1731436023992825,146.85731297845214,440.5719389353564,40.0,24 h,True,4,862.3344149215134,17.969175614960093,-68.72950513102906,23.639524314085534,60.0,400.0,128,,146.85731297845214,1.0,76.14228006379354,0.5184779601337635
reference,uniform_equal,128,NO2,87569.80583409485,262709.4175022845,45.05238371094815,3502.792233363794,10508.376700091381,25.0,24 h,True,4,862.3344149215134,17.969175614960093,-68.72950513102906,23.639524314085534,60.0,400.0,128,,3502.792233363794,1.0,2067.7343744119044,0.590310311504323
reference,d_optimal_equal,128,CO,53373.77387412556,160121.32162237668,45.11313182906055,13.34344346853139,40.03033040559417,4000.0,24 h,True,4,886.6801376671717,15.462843660059058,3.9779984434842,23.661471510510527,70.63538611925709,400.0,128,,29.731234205462677,2.2281530457695986,13.34344346853139,1.0
