noise_seed,model,model_role,configuration_status,target,normalization_q05_q95_range_ug_m3,validation_rmse_ug_m3,validation_normalized_rmse,validation_r2,test_rmse_ug_m3,test_normalized_rmse,test_r2,test_bias_ug_m3,configuration_json,selected_for_exploratory_composite,selected_component_model,model_runtime_seconds
20260715,exploratory_pca_knn_component,exploratory_component,frozen_before_noise_seed_stability_study,SO2,67.0,16.057165484462566,0.23965918633526218,-0.14407545263633237,15.884837561166309,0.23708712777860164,-0.45365184210488496,8.712921028000025,"{""n_neighbors"": 200, ""p"": 2, ""pca_components"": 32, ""pca_solver"": ""randomized"", ""random_state"": 20260715, ""weights"": ""uniform""}",False,exploratory_targetwise_ridge_component,1.5854419999996026
20260715,exploratory_pca_knn_component,exploratory_component,frozen_before_noise_seed_stability_study,NO2,107.0,36.19665152456004,0.3382864628463555,-0.0065850403532685675,36.114794028993146,0.33752143952330044,-0.00570490843088578,0.36893067537497126,"{""n_neighbors"": 200, ""p"": 2, ""pca_components"": 32, ""pca_solver"": ""randomized"", ""random_state"": 20260715, ""weights"": ""uniform""}",False,histogram_gradient_boosting_frozen,1.5854419999996026
20260715,exploratory_pca_knn_component,exploratory_component,frozen_before_noise_seed_stability_study,PM2.5,219.04999999999927,92.77150229191533,0.4235174722296993,-0.005071708151882071,85.91917506741585,0.3922354488354994,-0.004365461202176402,-4.448693999999991,"{""n_neighbors"": 200, ""p"": 2, ""pca_components"": 32, ""pca_solver"": ""randomized"", ""random_state"": 20260715, ""weights"": ""uniform""}",False,multitask_elastic_net_frozen,1.5854419999996026
20260715,exploratory_pca_knn_component,exploratory_component,frozen_before_noise_seed_stability_study,PM10,264.0,99.89874945349989,0.3784043539905299,-0.00914857257905588,95.47035274158415,0.3616301240211521,-0.011907380113558075,9.29587724999996,"{""n_neighbors"": 200, ""p"": 2, ""pca_components"": 32, ""pca_solver"": ""randomized"", ""random_state"": 20260715, ""weights"": ""uniform""}",False,multitask_elastic_net_frozen,1.5854419999996026
20260715,exploratory_targetwise_ridge_component,exploratory_component,validation_selected_per_target_per_noise_seed,CO,3000.0,1343.336122163872,0.44777870738795733,-0.010159239077409676,1348.9112846624314,0.4496370948874771,-0.015485973743481818,-167.74994152331894,"{""alpha"": 316227.7660168379, ""alpha_grid"": [0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0, 3162.2776601683795, 10000.0, 31622.776601683792, 100000.0, 316227.7660168379, 1000000.0, 3162277.6601683795, 10000000.0, 31622776.60168379, 100000000.0, 316227766.01683795, 1000000000.0, 3162277660.1683793, 10000000000.0, 31622776601.683792, 100000000000.0, 316227766016.83795, 1000000000000.0]}",False,histogram_gradient_boosting_frozen,3.540801300001476
20260715,exploratory_targetwise_ridge_component,exploratory_component,validation_selected_per_target_per_noise_seed,O3,185.0,49.98026290709283,0.27016358328158285,-0.1142461407791342,57.32584766048326,0.30986944681342304,-0.035382354902985025,10.59725713643785,"{""alpha"": 1000000000000.0, ""alpha_grid"": [0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0, 3162.2776601683795, 10000.0, 31622.776601683792, 100000.0, 316227.7660168379, 1000000.0, 3162277.6601683795, 10000000.0, 31622776.60168379, 100000000.0, 316227766.01683795, 1000000000.0, 3162277660.1683793, 10000000000.0, 31622776601.683792, 100000000000.0, 316227766016.83795, 1000000000000.0]}",False,exploratory_pca_knn_component,3.540801300001476
20260715,exploratory_targetwise_ridge_component,exploratory_component,validation_selected_per_target_per_noise_seed,SO2,67.0,15.956940237011086,0.23816328711956844,-0.12983789769498788,15.779714430243253,0.23551812582452616,-0.4344754685234886,8.69053634728355,"{""alpha"": 100000.0, ""alpha_grid"": [0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0, 3162.2776601683795, 10000.0, 31622.776601683792, 100000.0, 316227.7660168379, 1000000.0, 3162277.6601683795, 10000000.0, 31622776.60168379, 100000000.0, 316227766.01683795, 1000000000.0, 3162277660.1683793, 10000000000.0, 31622776601.683792, 100000000000.0, 316227766016.83795, 1000000000000.0]}",True,exploratory_targetwise_ridge_component,3.540801300001476
20260715,exploratory_targetwise_ridge_component,exploratory_component,validation_selected_per_target_per_noise_seed,NO2,107.0,36.07725280873956,0.33717058699756597,4.4674514809495136e-05,36.01143395719711,0.33655545754389826,4.3482661497562525e-05,0.23355466011850703,"{""alpha"": 316227.7660168379, ""alpha_grid"": [0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0, 3162.2776601683795, 10000.0, 31622.776601683792, 100000.0, 316227.7660168379, 1000000.0, 3162277.6601683795, 10000000.0, 31622776.60168379, 100000000.0, 316227766.01683795, 1000000000.0, 3162277660.1683793, 10000000000.0, 31622776601.683792, 100000000000.0, 316227766016.83795, 1000000000000.0]}",False,histogram_gradient_boosting_frozen,3.540801300001476
20260715,exploratory_targetwise_ridge_component,exploratory_component,validation_selected_per_target_per_noise_seed,PM2.5,219.04999999999927,92.58880451875385,0.42268342624402716,-0.0011169688221994711,85.85213978770285,0.3919294215371063,-0.0027988340900071407,-4.896388459455657,"{""alpha"": 100000.0, ""alpha_grid"": [0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0, 3162.2776601683795, 10000.0, 31622.776601683792, 100000.0, 316227.7660168379, 1000000.0, 3162277.6601683795, 10000000.0, 31622776.60168379, 100000000.0, 316227766.01683795, 1000000000.0, 3162277660.1683793, 10000000000.0, 31622776601.683792, 100000000000.0, 316227766016.83795, 1000000000000.0]}",False,multitask_elastic_net_frozen,3.540801300001476
20260715,exploratory_targetwise_ridge_component,exploratory_component,validation_selected_per_target_per_noise_seed,PM10,264.0,99.64637678914104,0.3774483969285646,-0.004056220244238018,95.32426079727529,0.3610767454442246,-0.008812840206660288,9.064941523740272,"{""alpha"": 100000.0, ""alpha_grid"": [0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0, 3162.2776601683795, 10000.0, 31622.776601683792, 100000.0, 316227.7660168379, 1000000.0, 3162277.6601683795, 10000000.0, 31622776.60168379, 100000000.0, 316227766.01683795, 1000000000.0, 3162277660.1683793, 10000000000.0, 31622776601.683792, 100000000000.0, 316227766016.83795, 1000000000000.0]}",False,multitask_elastic_net_frozen,3.540801300001476
20260715,exploratory_validation_selected_composite,exploratory_composite_not_confirmatory,validation_selected_per_target_from_predeclared_components,CO,3000.0,1342.8714402029586,0.4476238134009862,-0.009460498708186327,1347.5842023163332,0.4491947341054444,-0.013488851158539372,-165.76948134347006,"{""candidate_order"": [""histogram_gradient_boosting_frozen"", ""exploratory_pca_knn_component"", ""exploratory_targetwise_ridge_component"", ""multitask_elastic_net_frozen""], ""exploratory_only"": true, ""selected_component"": ""histogram_gradient_boosting_frozen""}",False,histogram_gradient_boosting_frozen,0.0
20260715,exploratory_validation_selected_composite,exploratory_composite_not_confirmatory,validation_selected_per_target_from_predeclared_components,O3,185.0,49.871804250090335,0.2695773202707586,-0.10941549326665556,57.319546897765356,0.3098353886365695,-0.035154766815152394,9.963326264500015,"{""candidate_order"": [""histogram_gradient_boosting_frozen"", ""exploratory_pca_knn_component"", ""exploratory_targetwise_ridge_component"", ""multitask_elastic_net_frozen""], ""exploratory_only"": true, ""selected_component"": ""exploratory_pca_knn_component""}",False,exploratory_pca_knn_component,0.0
20260715,exploratory_validation_selected_composite,exploratory_composite_not_confirmatory,validation_selected_per_target_from_predeclared_components,SO2,67.0,15.956940237011086,0.23816328711956844,-0.12983789769498788,15.779714430243253,0.23551812582452616,-0.4344754685234886,8.69053634728355,"{""candidate_order"": [""histogram_gradient_boosting_frozen"", ""exploratory_pca_knn_component"", ""exploratory_targetwise_ridge_component"", ""multitask_elastic_net_frozen""], ""exploratory_only"": true, ""selected_component"": ""exploratory_targetwise_ridge_component""}",False,exploratory_targetwise_ridge_component,0.0
20260715,exploratory_validation_selected_composite,exploratory_composite_not_confirmatory,validation_selected_per_target_from_predeclared_components,NO2,107.0,36.07002514699161,0.33710303875693093,0.00044529342761601143,36.01431063140715,0.3365823423495995,-0.00011628126351626022,0.21728490557239402,"{""candidate_order"": [""histogram_gradient_boosting_frozen"", ""exploratory_pca_knn_component"", ""exploratory_targetwise_ridge_component"", ""multitask_elastic_net_frozen""], ""exploratory_only"": true, ""selected_component"": ""histogram_gradient_boosting_frozen""}",False,histogram_gradient_boosting_frozen,0.0
20260715,exploratory_validation_selected_composite,exploratory_composite_not_confirmatory,validation_selected_per_target_from_predeclared_components,PM2.5,219.04999999999927,92.5466643955306,0.42249104951166816,-0.0002058955606600854,85.8262920780319,0.3918114224059903,-0.00219509488723979,-4.86993580923042,"{""candidate_order"": [""histogram_gradient_boosting_frozen"", ""exploratory_pca_knn_component"", ""exploratory_targetwise_ridge_component"", ""multitask_elastic_net_frozen""], ""exploratory_only"": true, ""selected_component"": ""multitask_elastic_net_frozen""}",False,multitask_elastic_net_frozen,0.0
20260715,exploratory_validation_selected_composite,exploratory_composite_not_confirmatory,validation_selected_per_target_from_predeclared_components,PM10,264.0,99.59991642427529,0.3772724106980125,-0.0031201512213849814,95.30185418692466,0.3609918719201692,-0.008338639422559524,9.095195982426013,"{""candidate_order"": [""histogram_gradient_boosting_frozen"", ""exploratory_pca_knn_component"", ""exploratory_targetwise_ridge_component"", ""multitask_elastic_net_frozen""], ""exploratory_only"": true, ""selected_component"": ""multitask_elastic_net_frozen""}",False,multitask_elastic_net_frozen,0.0
20260716,training_period_mean,baseline,fixed_training_only,CO,3000.0,1343.359237264699,0.44778641242156636,-0.010194003472070445,1349.053087111262,0.44968436237042064,-0.015699488106189374,-167.72166666665717,"{""estimator"": ""training_target_mean""}",False,,0.0
20260716,training_period_mean,baseline,fixed_training_only,O3,185.0,49.98026290708433,0.27016358328153695,-0.11424614077875539,57.32584765836353,0.30986944680196504,-0.035382354826414275,10.597257133333716,"{""estimator"": ""training_target_mean""}",False,,0.0
20260716,training_period_mean,baseline,fixed_training_only,SO2,67.0,15.962105822446182,0.2382403854096445,-0.1305695190161007,15.784931727874834,0.23559599593843036,-0.43542419579497116,8.693784199999179,"{""estimator"": ""training_target_mean""}",False,,0.0
20260716,training_period_mean,baseline,fixed_training_only,NO2,107.0,36.07810724144191,0.33717857234992443,-2.690768407198618e-06,36.013003822921355,0.3365701291861809,-4.3702518669475054e-05,0.2380691333336224,"{""estimator"": ""training_target_mean""}",False,,0.0
20260716,training_period_mean,baseline,fixed_training_only,PM2.5,219.04999999999927,92.60106874502529,0.4227394144945245,-0.0013822004180681358,85.87251108149653,0.39202241991096465,-0.003274785728855978,-4.906091666666413,"{""estimator"": ""training_target_mean""}",False,,0.0
20260716,training_period_mean,baseline,fixed_training_only,PM10,264.0,99.65625197173638,0.37748580292324385,-0.004255238615838541,95.33853559266711,0.3611308166388906,-0.009115002006937933,9.06100833333436,"{""estimator"": ""training_target_mean""}",False,,0.0
20260716,ridge_validation_selected,confirmatory_reference,validation_selected_per_noise_seed,CO,3000.0,1343.359653226147,0.44778655107538234,-0.010194629070665373,1349.0529690746382,0.44968432302487943,-0.015699310367100816,-167.72173396018377,"{""alpha"": 100000000.0, ""alpha_grid"": [0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0, 1000000.0, 10000000.0, 100000000.0]}",False,histogram_gradient_boosting_frozen,3.4020705000002636
20260716,ridge_validation_selected,confirmatory_reference,validation_selected_per_noise_seed,O3,185.0,49.98025026340874,0.27016351493734453,-0.11424557702962201,57.32581269082849,0.30986925778826213,-0.03538109170483117,10.597253263508707,"{""alpha"": 100000000.0, ""alpha_grid"": [0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0, 1000000.0, 10000000.0, 100000000.0]}",False,exploratory_pca_knn_component,3.4020705000002636
20260716,ridge_validation_selected,confirmatory_reference,validation_selected_per_noise_seed,SO2,67.0,15.962116147197857,0.2382405395104158,-0.13057098158669644,15.784929103832877,0.23559595677362502,-0.43542371855337536,8.693773747598215,"{""alpha"": 100000000.0, ""alpha_grid"": [0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0, 1000000.0, 10000000.0, 100000000.0]}",False,histogram_gradient_boosting_frozen,3.4020705000002636
20260716,ridge_validation_selected,confirmatory_reference,validation_selected_per_noise_seed,NO2,107.0,36.07812099656435,0.3371787009024706,-3.4532896771022337e-06,36.01299212807109,0.33657001988851487,-4.305301109064352e-05,0.23806138622960618,"{""alpha"": 100000000.0, ""alpha_grid"": [0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0, 1000000.0, 10000000.0, 100000000.0]}",False,exploratory_pca_knn_component,3.4020705000002636
20260716,ridge_validation_selected,confirmatory_reference,validation_selected_per_noise_seed,PM2.5,219.04999999999927,92.60109365542861,0.4227395282146949,-0.001382739177246295,85.87248053768177,0.392022280473326,-0.0032740720235415743,-4.906070520540606,"{""alpha"": 100000000.0, ""alpha_grid"": [0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0, 1000000.0, 10000000.0, 100000000.0]}",False,exploratory_targetwise_ridge_component,3.4020705000002636
20260716,ridge_validation_selected,confirmatory_reference,validation_selected_per_noise_seed,PM10,264.0,99.65627280451504,0.37748588183528425,-0.0042556584877258,95.3385037688023,0.3611306960939481,-0.0091143283248043,9.061024660782182,"{""alpha"": 100000000.0, ""alpha_grid"": [0.01, 0.1, 1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0, 1000000.0, 10000000.0, 100000000.0]}",False,exploratory_pca_knn_component,3.4020705000002636
20260716,multitask_elastic_net_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,CO,3000.0,1344.4140929519942,0.44813803098399807,-0.011781110238673564,1348.8913887580575,0.4496304629193525,-0.015456017936816169,-168.00785081138963,"{""alpha"": 0.01, ""fit_intercept"": true, ""l1_ratio"": 0.8, ""max_iter"": 5000, ""random_state"": 20260715, ""selection"": ""cyclic"", ""tol"": 1e-05}",False,histogram_gradient_boosting_frozen,1.1845630000025267
20260716,multitask_elastic_net_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,O3,185.0,50.00706255557857,0.2703084462463707,-0.11544138902609968,57.33780410680607,0.3099340762530058,-0.03581429913233736,10.601023073608172,"{""alpha"": 0.01, ""fit_intercept"": true, ""l1_ratio"": 0.8, ""max_iter"": 5000, ""random_state"": 20260715, ""selection"": ""cyclic"", ""tol"": 1e-05}",False,exploratory_pca_knn_component,1.1845630000025267
20260716,multitask_elastic_net_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,SO2,67.0,16.008382897094947,0.2389310880163425,-0.13713447885967223,15.813946616869861,0.23602905398313226,-0.440706062379312,8.68464541841105,"{""alpha"": 0.01, ""fit_intercept"": true, ""l1_ratio"": 0.8, ""max_iter"": 5000, ""random_state"": 20260715, ""selection"": ""cyclic"", ""tol"": 1e-05}",False,histogram_gradient_boosting_frozen,1.1845630000025267
20260716,multitask_elastic_net_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,NO2,107.0,36.11868752821611,0.3375578273665057,-0.002253541562891037,35.99580381883126,0.3364093814844043,0.000911321853719449,0.22551730100059808,"{""alpha"": 0.01, ""fit_intercept"": true, ""l1_ratio"": 0.8, ""max_iter"": 5000, ""random_state"": 20260715, ""selection"": ""cyclic"", ""tol"": 1e-05}",False,exploratory_pca_knn_component,1.1845630000025267
