feature_set,alpha,mean_nrmse_range,max_nrmse_range,mean_r2
path_normalized,0.1778279410038923,0.07967964717465974,0.09752036247761024,0.9427764992752232
hybrid_path_template,0.1778279410038923,0.07967972794388412,0.09752043034823972,0.9427764052162503
path_normalized,0.1,0.07967981636385581,0.09752054995083001,0.9427762752270347
hybrid_path_template,0.1,0.07967986193271627,0.0975205883271526,0.9427762221287899
path_normalized,0.05623413251903491,0.07967991164407696,0.09752065556289975,0.9427761490457837
hybrid_path_template,0.05623413251903491,0.07967993731646074,0.0975206772098774,0.9427761191215982
path_normalized,0.03162277660168379,0.07967996526778516,0.09752071501244597,0.942776078028841
hybrid_path_template,0.03162277660168379,0.07967997971933433,0.0975207272064328,0.9427760611807242
path_normalized,0.01778279410038923,0.07967999543643543,0.09752074846220729,0.9427760380740979
hybrid_path_template,0.01778279410038923,0.07968000356785317,0.09752075532603023,0.9427760285932187
path_normalized,0.01,0.07968001240588582,0.0975207672783434,0.9427760155998918
hybrid_path_template,0.01,0.07968001698000898,0.0975207711402547,0.9427760102663502
path_normalized,0.005623413251903491,0.07968002194989154,0.09752077786131702,0.9427760029598184
hybrid_path_template,0.005623413251903491,0.07968002452258159,0.09752078003369352,0.9427759999598987
path_normalized,0.0031622776601683794,0.07968002731731774,0.09752078381315628,0.9427759958511821
hybrid_path_template,0.0031622776601683794,0.07968002876419676,0.09752078503498327,0.9427759941639984
path_normalized,0.0017782794100389228,0.07968003033578146,0.0975207871603092,0.9427759918535128
hybrid_path_template,0.0017782794100389228,0.07968003114946846,0.0975207878474596,0.9427759909046745
path_normalized,0.001,0.07968003203323222,0.0975207890426117,0.9427759896053974
hybrid_path_template,0.001,0.07968003249081694,0.09752078942904566,0.942775989071806
hybrid_path_template,562.341325190349,0.07971939615621484,0.09756879348403154,0.9427272066539661
path_normalized,177.82794100389228,0.07984522160784112,0.0978569356006581,0.9425281707269028
template_projection,562.341325190349,0.08007801357717853,0.096331979093189,0.9422931308182442
hybrid_path_template,1000.0,0.08027940665289142,0.09825134158811874,0.941959224475768
path_normalized,316.22776601683796,0.08037649998005027,0.09870059316573405,0.9417712350309085
path_normalized,562.341325190349,0.0816197593059516,0.10068085860063894,0.9399732513443979
template_projection,1000.0,0.0834852389194799,0.09998373370798387,0.937370774639871
path_normalized,1000.0,0.08404826499745349,0.10463583515724287,0.9363433002335423
