model,split,target,mae_ug_m3,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
single_channel_global_ridge,validation,NO2,4.573277849141602,6.991973078834811,0.06534554279284871,0.9624410732993319,-0.1774725061457599
single_channel_global_ridge,validation,PM2.5,7.361033712344114,13.41684720486618,0.06125015843353675,0.9789782524062567,-0.33540060244547476
single_channel_global_ridge,validation,PM10,10.296066482034803,17.216619843385782,0.06521446910373402,0.9700269604430444,0.3811915699396526
single_channel_global_ridge,test,CO,169.3105507314256,344.8421496807209,0.11494738322690698,0.9336336640929502,4.757196254028899
single_channel_global_ridge,test,O3,6.955755294095158,11.426120302237543,0.061762812444527256,0.9588663381454992,-0.1428543290346967
single_channel_global_ridge,test,SO2,2.63679837178031,5.406541373012434,0.08069464735839454,0.8316031713725514,0.14194906380935252
single_channel_global_ridge,test,NO2,5.311153678653243,8.83374870150858,0.08255839907951944,0.9398285653915368,-0.164608092333936
single_channel_global_ridge,test,PM2.5,7.526313225423741,12.672797348953758,0.05785344601211504,0.9781497428464611,-1.111973057923578
single_channel_global_ridge,test,PM10,10.927991963835714,17.65414606635504,0.06687176540286,0.9653983236174735,1.1808477861122635
single_channel_station_delta_ridge,validation,CO,156.8651616089264,279.11204214599974,0.09303734738199991,0.9563908519007704,1.2724237208633868
single_channel_station_delta_ridge,validation,O3,4.7965980944901006,7.222448110862445,0.03904026005871592,0.9767323283348082,-0.21837166703802868
single_channel_station_delta_ridge,validation,SO2,2.0786960529129295,3.7067183004185864,0.055324153737590843,0.939032825903553,0.05236630352435007
single_channel_station_delta_ridge,validation,NO2,4.7957210337162115,7.05236711174299,0.06590997300694383,0.9617894313259227,-0.1684806481082668
single_channel_station_delta_ridge,validation,PM2.5,7.8200843931309905,13.740101603876907,0.06272586899738394,0.9779530885484192,-0.3625664803928739
single_channel_station_delta_ridge,validation,PM10,12.230090282623786,20.52869796933668,0.07776021958082076,0.9573854587912314,0.4111694288912291
single_channel_station_delta_ridge,test,CO,184.90335108433695,381.794701168786,0.12726490038959534,0.9186482412065518,1.6277228164506132
single_channel_station_delta_ridge,test,O3,6.610620755421987,10.734389149792433,0.05802372513401315,0.963696001545683,-0.3600164505726013
single_channel_station_delta_ridge,test,SO2,1.9212085208464622,4.719279881253275,0.07043701315303395,0.8716941921354707,-0.01148400577167692
single_channel_station_delta_ridge,test,NO2,5.6396564872717105,9.023602236968683,0.08433273118662321,0.9372143822615766,-0.022856076591379015
single_channel_station_delta_ridge,test,PM2.5,7.569501450566952,13.59211246004598,0.062050273727669594,0.9748646179547947,-0.673882020207561
single_channel_station_delta_ridge,test,PM10,12.91861309350947,21.137123410294535,0.08006486140263082,0.9503984240605335,1.0134687241065266
single_channel_histogram_boosting,validation,CO,153.62037305867267,314.78518315098745,0.10492839438366248,0.9445311683512696,-11.597386262174831
single_channel_histogram_boosting,validation,O3,4.451151773124176,7.152399803564755,0.038661620559809484,0.9771814716804327,0.17073174258117912
single_channel_histogram_boosting,validation,SO2,2.152012458319684,4.015279639025621,0.059929546851128675,0.9284600727579404,0.29915920412019015
single_channel_histogram_boosting,validation,NO2,4.53416236190757,7.0397801857238615,0.06579233818433515,0.961925704550267,-0.13690997310517816
single_channel_histogram_boosting,validation,PM2.5,6.786205906964837,14.604037847198757,0.06666988289065878,0.9750934388308039,-1.8114070206810058
single_channel_histogram_boosting,validation,PM10,12.054643303246273,21.287097172061646,0.08063294383356684,0.9541786487553976,2.049475038198846
single_channel_histogram_boosting,test,CO,175.26864578050058,391.09944053173035,0.13036648017724345,0.9146346662202027,-18.078575556227218
single_channel_histogram_boosting,test,O3,6.126345264920346,10.44575704609288,0.05646355160050205,0.9656220773570487,0.5614275147250204
single_channel_histogram_boosting,test,SO2,1.8502044700245377,4.800678508408883,0.07165191803595349,0.86722995786332,0.3237876674627878
single_channel_histogram_boosting,test,NO2,5.051295993076908,8.429799308790429,0.07878317111019092,0.9452057791549221,0.12243963879495671
single_channel_histogram_boosting,test,PM2.5,6.22791691586673,12.11294547404994,0.055297628276877335,0.9800376761535439,-0.6491917305146165
single_channel_histogram_boosting,test,PM10,11.743046960539882,20.80615106300079,0.07881117826894239,0.9519396196284713,1.0467427521363715
validation_selected_single_channel_repair,validation,CO,152.01570265065564,275.3351410742389,0.09177838035807963,0.957563091114254,8.144468308018006
validation_selected_single_channel_repair,validation,O3,4.451151773124176,7.152399803564755,0.038661620559809484,0.9771814716804327,0.17073174258117912
validation_selected_single_channel_repair,validation,SO2,2.0786960529129295,3.7067183004185864,0.055324153737590843,0.939032825903553,0.05236630352435007
