scenario,tone_count,selection_rank,candidate_index,frequency_ghz,power_fraction,power_fraction_relative_to_equal,optimized_snr_db
reference,32,24,1008,395.0146627565982,0.05850379781126197,1.872121529960383,14.773166938528629
reference,32,25,840,339.17888563049854,0.013259195792487355,0.42429426535959536,22.896684288603986
reference,32,26,896,357.7908113391984,0.023412498442446902,0.7491999501583009,21.187486945744407
reference,32,27,34,71.30009775171065,0.007302398248598372,0.2336767439551479,10.020218761208266
reference,32,28,537,238.47507331378299,0.008629916443208886,0.27615732618268435,23.056343175869724
reference,32,29,915,364.1055718475073,0.05853602666151234,1.873152853168395,16.338701931925442
reference,32,30,359,179.31573802541544,0.061792644785017316,1.977364633120554,7.394966296347697
reference,32,31,1011,396.0117302052786,0.04236258712876047,1.355602788120335,15.930415967627972
reference,32,32,1021,399.3352883675464,0.01890075915171939,0.6048242928550205,18.353550480821987
reference_zero_residual,32,1,860,345.8260019550342,0.01774585725628325,0.567867432201064,24.509694111192164
reference_zero_residual,32,2,898,358.455522971652,0.02635635845959909,0.8434034707071709,21.138278029305507
reference_zero_residual,32,3,1010,395.6793743890518,0.05369817310290425,1.718341539292936,16.15944654838138
reference_zero_residual,32,4,656,278.02541544477026,0.008735825196430498,0.27954640628577593,24.152497857648193
reference_zero_residual,32,5,33,70.96774193548387,0.008348274796967084,0.2671447935029467,10.387212767608688
reference_zero_residual,32,6,1023,400.0,0.025243521547719285,0.8077926895270171,20.465370258855792
reference_zero_residual,32,7,534,237.47800586510263,0.009473866430319154,0.30316372577021294,23.42406933002377
reference_zero_residual,32,8,785,320.8993157380254,0.08206189900640948,2.6259807682051033,9.910833848532253
reference_zero_residual,32,9,916,364.4379276637341,0.06868040159289325,2.197772850972584,16.22513999833607
reference_zero_residual,32,10,840,339.17888563049854,0.014585444362021228,0.4667342195846793,23.310709101052772
reference_zero_residual,32,11,895,357.45845552297163,0.02452189019305214,0.7847004861776685,21.650353718440616
reference_zero_residual,32,12,384,187.62463343108504,0.04844849385820236,1.5503518034624755,9.934691278403488
reference_zero_residual,32,13,859,345.49364613880743,0.017003987460047373,0.544127598721516,24.354189915026637
reference_zero_residual,32,14,32,70.63538611925709,0.008688980209208781,0.278047366694681,10.323620952598159
reference_zero_residual,32,15,1009,395.347018572825,0.05950212972814686,1.9040681513006996,15.753566709761252
reference_zero_residual,32,16,538,238.80742913000978,0.009691034101063674,0.3101130912340376,23.57232687418043
reference_zero_residual,32,17,1022,399.6676441837732,0.022755513072380905,0.728176418316189,19.597665355067694
reference_zero_residual,32,18,917,364.7702834799609,0.07308408649486099,2.3386907678355517,15.626106321697224
reference_zero_residual,32,19,894,357.12609970674487,0.023439610776802372,0.7500675448576759,21.703780737588446
reference_zero_residual,32,20,861,346.15835777126097,0.016882344058478757,0.5402350098713202,24.258932225563107
reference_zero_residual,32,21,30,69.97067448680352,0.009594572873589313,0.307026331954858,10.191355415431609
reference_zero_residual,32,22,383,187.29227761485825,0.06230539053336063,1.9937724970675401,8.69212218335703
reference_zero_residual,32,23,657,278.3577712609971,0.008708861304835811,0.27868356175474596,24.14328333224382
reference_zero_residual,32,24,1008,395.0146627565982,0.06243428600194747,1.997897152062319,15.055557838461851
reference_zero_residual,32,25,841,339.5112414467253,0.014446995490817441,0.4623038557061581,23.347828147639266
reference_zero_residual,32,26,896,357.7908113391984,0.025268737996311456,0.8085996158819666,21.518844854533455
reference_zero_residual,32,27,537,238.47507331378299,0.009609674570814875,0.307509586266076,23.523364074336165
reference_zero_residual,32,28,35,71.63245356793743,0.007822797399218855,0.25032951677500337,10.51406833501993
reference_zero_residual,32,29,915,364.1055718475073,0.0616452356744172,1.9726475415813505,16.563464706198356
reference_zero_residual,32,30,358,178.98338220918865,0.053316228260578455,1.7061193043385106,9.183340735262858
reference_zero_residual,32,31,1011,396.0117302052786,0.04547490075923784,1.4551968242956108,16.23830881653542
reference_zero_residual,32,32,1021,399.3352883675464,0.0204246274310799,0.6535880777945569,18.69029943299166
optimistic_combined,32,1,860,345.8260019550342,0.018821315980157165,0.6022821113650293,19.29796492758245
optimistic_combined,32,2,897,358.1231671554252,0.07963056005575041,2.548177921784013,11.921152190380639
optimistic_combined,32,3,869,348.81720430107526,0.02080648396797843,0.6658074869753098,18.355235834142327
optimistic_combined,32,4,1023,400.0,0.10631181305650339,3.4019780178081085,9.397104000349628
optimistic_combined,32,5,35,71.63245356793743,0.006133225082178767,0.19626320262972055,9.596170804451301
optimistic_combined,32,6,534,237.47800586510263,0.004465373184498252,0.14289194190394405,23.185404326455178
optimistic_combined,32,7,668,282.0136852394917,0.004606045469943511,0.14739345503819234,23.801144573747877
optimistic_combined,32,8,392,190.2834799608993,0.036429240832278595,1.165735706632915,7.631949343650501
optimistic_combined,32,9,842,339.8435972629521,0.019011226605632457,0.6083592513802386,19.060557738007283
optimistic_combined,32,10,50,76.6177908113392,0.0041495818392309385,0.13278661885539003,11.650111082066225
optimistic_combined,32,11,729,302.2873900293255,0.00548670830257456,0.17557466568238592,22.35161524864872
optimistic_combined,32,12,896,357.7908113391984,0.07137166587651997,2.283893308048639,12.210539119251168
optimistic_combined,32,13,859,345.49364613880743,0.018348391123133283,0.5871485159402651,19.283756779648233
optimistic_combined,32,14,393,190.61583577712608,0.02926347352254411,0.9364311527214115,8.547828939039496
optimistic_combined,32,15,868,348.48484848484844,0.02014416588244657,0.6446133082382902,18.41406377693919
optimistic_combined,32,16,1022,399.6676441837732,0.10604791041884243,3.3935331334029577,8.259353931484007
optimistic_combined,32,17,539,239.13978494623655,0.004665989818852585,0.14931167420328273,23.441037524339887
optimistic_combined,32,18,669,282.3460410557185,0.004587327716519529,0.14679448692862493,23.772741763999132
optimistic_combined,32,19,898,358.455522971652,0.08955848997177644,2.865871679096846,11.628680686922188
optimistic_combined,32,20,47,75.62072336265885,0.0043773751545604575,0.14007600494593464,11.409500895755244
optimistic_combined,32,21,391,189.95112414467252,0.04633712633279813,1.4827880426495401,6.573605028807207
optimistic_combined,32,22,861,346.15835777126097,0.017468493378055394,0.5589917880977726,18.866351845743882
optimistic_combined,32,23,870,349.14956011730203,0.020240583988030216,0.6476986876169669,18.02411650457977
optimistic_combined,32,24,538,238.80742913000978,0.004652766263619364,0.14888852043581965,23.41608911402193
optimistic_combined,32,25,667,281.68132942326486,0.004528368884902846,0.14490780431689107,23.737596655386046
optimistic_combined,32,26,895,357.45845552297163,0.0646457444881666,2.068663823621331,12.50992603691293
optimistic_combined,32,27,45,74.95601173020528,0.004562099397108366,0.14598718070746772,11.223688769446959
optimistic_combined,32,28,349,175.9921798631476,0.03141295881229991,1.0052146819935972,7.575961356817742
optimistic_combined,32,29,1021,399.3352883675464,0.11142054380473979,3.565457401751673,7.289750989474851
optimistic_combined,32,30,858,345.1612903225806,0.01655106162858129,0.5296339721146013,18.920898917733137
optimistic_combined,32,31,730,302.6197458455523,0.005584185366950456,0.1786939317424146,22.33525913814967
optimistic_combined,32,32,867,348.1524926686217,0.018379703792825903,0.5881505213704289,18.203440223169263
