model,model_role,configuration_status,aggregation,target,noise_seed_count,mean_validation_normalized_rmse,std_validation_normalized_rmse_across_seeds,mean_test_normalized_rmse,std_test_normalized_rmse_across_seeds,min_test_normalized_rmse,max_test_normalized_rmse,mean_test_r2,mean_test_delta_vs_reference,std_test_delta_vs_reference,test_seed_wins_vs_reference,test_seed_ties_vs_reference,primary_seed_test_normalized_rmse
multitask_elastic_net_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,per_target,PM10,10,0.37768748875874963,0.00024718567269973026,0.3614074776339495,0.00023251272431846197,0.3609918719201692,0.3616498891008003,-0.010662129354154382,0.00028122759683368306,0.00022094508339957005,1,0,0.3609918719201692
histogram_gradient_boosting_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,overall_mean_across_targets,all,10,0.34901587077704993,8.145050199559439e-05,0.347582558609397,0.0001028393415770103,0.34736584826417066,0.34772298348895725,-0.08378892985946489,0.00010704633966440169,9.490142802744903e-05,1,0,0.34736584826417066
histogram_gradient_boosting_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,per_target,CO,10,0.4478071617033983,0.00018616009696669327,0.44975359104740226,0.00023828093084310307,0.4491947341054444,0.4500504194927784,-0.016012501676794955,8.083892098950107e-05,0.00020881409025709036,2,0,0.4491947341054444
histogram_gradient_boosting_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,per_target,O3,10,0.27018426540992235,0.00015697536766794812,0.30994177452173793,0.0001644617698762858,0.30962897271345385,0.3102207825448389,-0.035866018217435625,5.789208728509965e-05,0.00017577065126455355,4,0,0.30989399291531206
histogram_gradient_boosting_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,per_target,SO2,10,0.23832870133975845,0.0001900580671638974,0.235652504147777,0.0001161246561254059,0.23535091405276576,0.235781602350196,-0.4361131714313963,6.45510842030489e-05,9.537933786923206e-05,1,0,0.23535091405276576
histogram_gradient_boosting_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,per_target,NO2,10,0.33725859909099776,0.00018089905542095498,0.33665320662036063,6.661330923919823e-05,0.33656143824248586,0.33673701016767105,-0.000537491149278202,8.595520660982792e-05,6.634832338284825e-05,1,0,0.3365823423495995
histogram_gradient_boosting_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,per_target,PM2.5,10,0.42287807501904273,0.00023327191648333823,0.3922186146250355,0.0002338024478679939,0.39195163099989805,0.3925698146093966,-0.004279572233660267,0.00020363008194607124,0.00022415621897751119,2,0,0.39198080762526377
histogram_gradient_boosting_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,per_target,PM10,10,0.3776384220991798,0.00012143193672042337,0.36127566069406875,0.0001602682879642542,0.36105533666872935,0.3615505030457916,-0.009924824448224045,0.00014941065695293633,0.00015869009720913802,2,0,0.3611922985366386
exploratory_pca_knn_component,exploratory_component,frozen_before_noise_seed_stability_study,overall_mean_across_targets,all,10,0.3495622324541035,0.0005039070416704726,0.348255002014624,0.00035404002820378514,0.3475059173417105,0.3488310505354059,-0.08912239801757135,0.0007794897448914373,0.00035313195561060217,0,0,0.3481024550871524
exploratory_pca_knn_component,exploratory_component,frozen_before_noise_seed_stability_study,per_target,CO,10,0.4484168578940223,0.0005933962881230663,0.4504387773488198,0.0005426931037427427,0.44983349409807266,0.4516196963488445,-0.019111663756217978,0.0007660252224070907,0.00054065684821244,0,0,0.4503052017277914
