frames,elapsed_s,residual_std_db,target,standard_error_ug_m3,tp,fp,fn,tn,positive_draws,null_draws,precision_pct,recall_pct,false_positive_rate_pct,specificity_pct,accuracy_pct,f1_pct,evaluated_positive_prevalence_pct,precision_ci95_lower_pct,precision_ci95_upper_pct,recall_ci95_lower_pct,recall_ci95_upper_pct,false_positive_ci95_lower_pct,false_positive_ci95_upper_pct,average_precision_pct
1,0.01,0.001,PMcoarse,8183131159.108717,60,50,4940,4950,5000,5000,54.54545454545454,1.2,1.0,99.0,50.1,2.3483365949119372,50.0,45.24405818800455,63.54008785473941,0.9334535211612843,1.5414741886762913,0.7593772813946567,1.3158575092209417,49.713554404140034
1,0.01,0.001,PM10,1515718660.932094,60,50,4940,4950,5000,5000,54.54545454545454,1.2,1.0,99.0,50.1,2.3483365949119372,50.0,45.24405818800455,63.54008785473941,0.9334535211612843,1.5414741886762913,0.7593772813946567,1.3158575092209417,49.713361952228325
10,0.1,0.0,H2CO,108.27090598744878,61,54,4939,4946,5000,5000,53.04347826086957,1.22,1.08,98.92,50.07,2.3851417399804498,50.0,43.97175935599384,61.91844097431469,0.9509858115682888,1.5639111901914846,0.8287189765234891,1.4063929817809002,50.507254453556115
10,0.1,0.0,CH3OH,264.2444931905016,47,48,4953,4952,5000,5000,49.473684210526315,0.9400000000000001,0.96,99.03999999999999,49.99,1.844946025515211,50.0,39.63757882123102,59.350699971968425,0.707655721568871,1.2476711932801345,0.7248675096817013,1.2704286970895016,50.51037424377749
10,0.1,0.0,CH3CN,25.250233908396034,54,44,4946,4956,5000,5000,55.10204081632652,1.08,0.88,99.11999999999999,50.1,2.1184778344448802,50.0,45.24754605807967,64.57163771618889,0.8287189765234891,1.4063929817809002,0.6562037439973316,1.1792152950850807,50.83120677846065
10,0.1,0.0,PM2.5,2108404245.5696173,53,46,4947,4954,5000,5000,53.535353535353536,1.06,0.9199999999999999,99.08,50.07,2.07883898803687,50.0,43.763089172297896,63.04350427772756,0.8113451615220025,1.3837975048601892,0.6904738548247706,1.2248837681020368,50.3400690325004
10,0.1,0.0,PMcoarse,2587712654.3073754,59,48,4941,4952,5000,5000,55.140186915887845,1.18,0.96,99.03999999999999,50.11,2.310554141374584,50.0,45.70141949009419,64.22266497887195,0.9159421922706208,1.5190162256447572,0.7248675096817013,1.2704286970895016,49.724538895764795
10,0.1,0.0,PM10,479308504.8576424,59,48,4941,4952,5000,5000,55.140186915887845,1.18,0.96,99.03999999999999,50.11,2.310554141374584,50.0,45.70141949009419,64.22266497887195,0.9159421922706208,1.5190162256447572,0.7248675096817013,1.2704286970895016,49.725268310135036
10,0.1,0.001,H2CO,108.28114358268479,62,55,4938,4945,5000,5000,52.991452991452995,1.24,1.0999999999999999,98.9,50.07,2.4232948993550907,50.0,43.99704900134548,61.79566491349288,0.9685385642423546,1.5863277294396163,0.8461172335733187,1.4289640166532682,50.525207894416056
10,0.1,0.001,CH3OH,264.2776303977779,46,48,4954,4952,5000,5000,48.93617021276596,0.9199999999999999,0.96,99.03999999999999,49.98,1.806046329014527,50.0,39.07276290915208,58.88311384891502,0.6904738548247706,1.2248837681020368,0.7248675096817013,1.2704286970895016,50.50991890927568
10,0.1,0.001,CH3CN,25.252998402029014,53,43,4947,4957,5000,5000,55.208333333333336,1.06,0.86,99.14,50.1,2.0800627943485086,50.0,45.251638597747416,64.76424069540184,0.8113451615220025,1.3837975048601892,0.6391175631594939,1.1563321840007208,50.824239106169635
10,0.1,0.001,PM2.5,2108572334.31699,53,46,4947,4954,5000,5000,53.535353535353536,1.06,0.9199999999999999,99.08,50.07,2.07883898803687,50.0,43.763089172297896,63.04350427772756,0.8113451615220025,1.3837975048601892,0.6904738548247706,1.2248837681020368,50.34534211185908
10,0.1,0.001,PMcoarse,2587918952.5630207,60,48,4940,4952,5000,5000,55.55555555555556,1.2,0.96,99.03999999999999,50.12,2.349256068911511,50.0,46.15361820505991,64.57585557553391,0.9334535211612843,1.5414741886762913,0.7248675096817013,1.2704286970895016,49.718546315895246
10,0.1,0.001,PM10,479346714.374901,60,48,4940,4952,5000,5000,55.55555555555556,1.2,0.96,99.03999999999999,50.12,2.349256068911511,50.0,46.15361820505991,64.57585557553391,0.9334535211612843,1.5414741886762913,0.7248675096817013,1.2704286970895016,49.71854217301514
1000,10.0,0.0,H2CO,10.827090598740138,78,54,4922,4946,5000,5000,59.09090909090909,1.5599999999999998,1.08,98.92,50.24,3.03975058456742,50.0,50.561799125799446,67.1058556596804,1.2518237134049048,1.9425512510322291,0.8287189765234891,1.4063929817809002,52.43380847543909
1000,10.0,0.0,CH3OH,26.42444931904921,50,48,4950,4952,5000,5000,51.02040816326531,1.0,0.96,99.03999999999999,50.02,1.9615535504119261,50.0,41.273047100283286,60.69078965457043,0.7593772813946567,1.3158575092209417,0.7248675096817013,1.2704286970895016,51.30889682377367
1000,10.0,0.0,CH3CN,2.5250233908412665,118,44,4882,4956,5000,5000,72.8395061728395,2.36,0.88,99.11999999999999,50.74,4.571871367686943,50.0,65.52036599903258,79.100563246415,1.974389149873783,2.8187574914512603,0.6562037439973316,1.1792152950850807,59.77450185040982
1000,10.0,0.0,PM2.5,210840424.55750087,53,47,4947,4953,5000,5000,53.0,1.06,0.9400000000000001,99.06,50.06,2.0784313725490198,50.0,43.28885697009936,62.48918204065872,0.8113451615220025,1.3837975048601892,0.707655721568871,1.2476711932801345,50.33803444507551
1000,10.0,0.0,PMcoarse,258771265.43139926,59,48,4941,4952,5000,5000,55.140186915887845,1.18,0.96,99.03999999999999,50.11,2.310554141374584,50.0,45.70141949009419,64.22266497887195,0.9159421922706208,1.5190162256447572,0.7248675096817013,1.2704286970895016,49.7272868800308
1000,10.0,0.0,PM10,47930850.4858871,59,47,4941,4953,5000,5000,55.660377358490564,1.18,0.9400000000000001,99.06,50.12,2.3110066588327456,50.0,46.169918065155954,64.7549186302387,0.9159421922706208,1.5190162256447572,0.707655721568871,1.2476711932801345,49.726926532645464
1000,10.0,0.001,H2CO,10.928818133558538,82,50,4918,4950,5000,5000,62.121212121212125,1.6400000000000001,1.0,99.0,50.32,3.195635229929852,50.0,53.61387245820451,69.94300058910196,1.323266415044011,2.0309857170819146,0.7593772813946567,1.3158575092209417,52.4978773488465
1000,10.0,0.001,CH3OH,26.753556933158556,53,42,4947,4958,5000,5000,55.78947368421052,1.06,0.84,99.16,50.11,2.0804710500490677,50.0,45.77109695973123,65.35783631507485,0.8113451615220025,1.3837975048601892,0.6220654387306614,1.133415016507355,51.293679887944556
1000,10.0,0.001,CH3CN,2.552456608857331,124,44,4876,4956,5000,5000,73.80952380952381,2.48,0.88,99.11999999999999,50.8,4.798761609907121,50.0,66.68202524772924,79.872514354658,2.084047055750806,2.9489153371074233,0.6562037439973316,1.1792152950850807,59.58799547136873
1000,10.0,0.001,PM2.5,212509566.9162675,55,49,4945,4951,5000,5000,52.88461538461539,1.0999999999999999,0.98,99.02,50.06,2.1551724137931036,50.0,43.360208820409,62.20351413513454,0.8461172335733187,1.4289640166532682,0.7421083157823486,1.2931571829110522,50.38776396774887
1000,10.0,0.001,PMcoarse,260819833.0180508,64,52,4936,4948,5000,5000,55.172413793103445,1.28,1.04,98.96000000000001,50.12,2.501954652071931,50.0,46.10121324415494,63.91201599895224,1.0037035568302635,1.6311013206961034,0.7939964636342376,1.361176910825756,49.67310121249958
1000,10.0,0.001,PM10,48310275.803007126,64,52,4936,4948,5000,5000,55.172413793103445,1.28,1.04,98.96000000000001,50.12,2.501954652071931,50.0,46.10121324415494,63.91201599895224,1.0037035568302635,1.6311013206961034,0.7939964636342376,1.361176910825756,49.67238684992647
