frames,elapsed_s,residual_std_db,target,standard_error_ug_m3,control,truth_ug_m3,bias_ug_m3,mae_ug_m3,rmse_ug_m3,p95_absolute_error_ug_m3,mae_pct_of_truth,rmse_pct_of_truth,within_20pct_of_truth_pct,negative_estimate_pct,conditional_95pct_interval_coverage_pct
10,0.1,0.0,CH3CN,25.250233908396034,positive,1.0,0.32433991866768636,19.913260960012842,25.075616183226714,48.59659241477546,1991.3260960012842,2507.561618322671,0.54,47.22,95.26
10,0.1,0.0,CH3CN,25.250233908396034,absent,0.0,0.17967987941383526,20.252153880972852,25.3663508461557,49.533523258825184,,,,49.6,94.94
10,0.1,0.0,PM2.5,2108404245.5696173,positive,49.0,6138863.680938056,1698187051.2007403,2131754922.516173,4152260399.552789,3465687859.5933475,4350520250.033006,0.0,49.86,94.86
10,0.1,0.0,PM2.5,2108404245.5696173,absent,0.0,-22397872.808732674,1704768005.9419966,2131940388.9614604,4139355900.6868277,,,,50.0,94.96
10,0.1,0.0,PMcoarse,2587712654.3073754,positive,41.0,-7532949.126449742,2084237134.0992703,2616367775.872106,5096370727.437721,5083505205.120172,6381384819.200258,0.0,50.18,94.86
10,0.1,0.0,PMcoarse,2587712654.3073754,absent,0.0,27480611.790958043,2092316557.875607,2616595802.337823,5081019786.931124,,,,50.0,94.96
10,0.1,0.0,PM10,479308504.8576424,positive,90.0,-1394085.4455116913,386050143.6491695,484612949.77370006,944110327.8849322,428944604.05463284,538458833.0818889,0.0,50.18,94.86
10,0.1,0.0,PM10,479308504.8576424,absent,0.0,5082738.982225368,387548589.4291957,484655511.7537677,941663886.2442962,,,,49.980000000000004,94.96
10,0.1,0.001,H2CO,108.28114358268479,positive,1.0,0.3737407173634524,87.17197388842577,109.68637944695858,217.03317340589095,8717.197388842576,10968.637944695858,0.16,49.46,94.5
10,0.1,0.001,H2CO,108.28114358268479,absent,0.0,-0.20772306547204397,86.64004706033678,109.22079459622759,216.81603372940936,,,,49.86,94.62
10,0.1,0.001,CH3OH,264.2776303977779,positive,1.0,-0.2982888477317447,206.88756448071328,260.61022443662426,515.4437161763506,20688.756448071326,26061.022443662427,0.08,49.46,95.12
10,0.1,0.001,CH3OH,264.2776303977779,absent,0.0,-5.190453460864593,208.0298515920728,261.4833340305616,513.2028306841652,,,,50.56,95.17999999999999
10,0.1,0.001,CH3CN,25.252998402029014,positive,1.0,0.32572210905125093,19.905732817465765,25.071555072699294,48.6562443482742,1990.5732817465764,2507.1555072699293,0.6799999999999999,47.04,95.24000000000001
10,0.1,0.001,CH3CN,25.252998402029014,absent,0.0,0.18169146587550358,20.255214104745885,25.372867148331537,49.679589646114664,,,,49.58,94.94
10,0.1,0.001,PM2.5,2108572334.31699,positive,49.0,5986828.612404712,1698319654.5663311,2131940305.961029,4175091712.2979937,3465958478.7067986,4350898583.593937,0.0,49.84,94.8
10,0.1,0.001,PM2.5,2108572334.31699,absent,0.0,-22804977.03893631,1705095647.5476685,2132117007.1938376,4134487815.4946837,,,,50.019999999999996,94.98
10,0.1,0.001,PMcoarse,2587918952.5630207,positive,41.0,-7346414.80687117,2084400219.643929,2616595158.729891,5124136221.685494,5083902974.741291,6381939411.536319,0.0,50.160000000000004,94.8
10,0.1,0.001,PMcoarse,2587918952.5630207,absent,0.0,27980373.825164735,2092719211.6949275,2616812527.5922565,5075061110.815686,,,,49.980000000000004,94.98
10,0.1,0.001,PM10,479346714.374901,positive,90.0,-1359586.1944664612,386080565.0775977,484654949.1473288,949044509.3875004,428978405.6417752,538505499.0525875,0.0,50.160000000000004,94.8
10,0.1,0.001,PM10,479346714.374901,absent,0.0,5175396.786228408,387623661.3171347,484695618.77345204,940284219.1869154,,,,49.96,94.98
1000,10.0,0.0,H2CO,10.827090598740138,positive,1.0,0.04041710159435144,8.713059796757618,10.962059529868265,21.64767028240244,871.3059796757617,1096.2059529868266,1.34,45.98,94.46
1000,10.0,0.0,H2CO,10.827090598740138,absent,0.0,-0.012598604184765595,8.662449238213096,10.921034546787745,21.666767875994523,,,,50.019999999999996,94.6
1000,10.0,0.0,CH3OH,26.42444931904921,positive,1.0,-0.023573701099914263,20.692236867788395,26.0626948795599,51.52000368836587,2069.2236867788397,2606.26948795599,0.4,48.16,95.08
1000,10.0,0.0,CH3OH,26.42444931904921,absent,0.0,-0.5166264494872348,20.808964668550917,26.149340690283992,51.20539934919549,,,,50.54,95.19999999999999
1000,10.0,0.0,CH3CN,2.5250233908412665,positive,1.0,0.03283926895744895,1.9913722831789629,2.5078446051101766,4.864894726727118,199.13722831789627,250.78446051101767,6.72,33.900000000000006,95.28
1000,10.0,0.0,CH3CN,2.5250233908412665,absent,0.0,0.018070120111103566,2.025250667254879,2.5365645283158136,4.958212313816732,,,,49.64,94.94
1000,10.0,0.0,PM2.5,210840424.55750087,positive,49.0,613206.3637006271,169845564.08149213,213149608.04258126,416683993.8765661,346623600.1663104,434999200.08690053,0.0,50.019999999999996,94.78
1000,10.0,0.0,PM2.5,210840424.55750087,absent,0.0,-2212851.4393593837,170463947.52988622,213193408.9061218,413595776.93555665,,,,50.03999999999999,94.94
1000,10.0,0.0,PMcoarse,258771265.43139926,positive,41.0,-752469.8923624672,208456663.46467486,261605011.53104612,511421881.46865606,508430886.499207,638061003.7342588,0.0,49.980000000000004,94.78
