target,recall_pct,precision_pct
H2CO,56.98,51.612318840579704
H2CO,56.720000000000006,51.56363636363637
H2CO,56.58,51.62408759124087
H2CO,56.44,51.68498168498169
H2CO,56.26,51.70955882352941
H2CO,56.06,51.71586715867159
H2CO,55.92,51.77777777777778
H2CO,55.720000000000006,51.784386617100374
H2CO,55.52,51.7910447761194
H2CO,55.300000000000004,51.77902621722846
H2CO,55.1,51.78571428571429
H2CO,54.94,51.83018867924528
H2CO,54.7,51.79924242424242
H2CO,54.52,51.82509505703422
H2CO,54.36,51.87022900763358
H2CO,54.17999999999999,51.89655172413793
H2CO,54.02,51.942307692307686
H2CO,53.839999999999996,51.96911196911197
H2CO,53.6,51.93798449612403
H2CO,53.339999999999996,51.887159533073934
H2CO,53.14,51.89453125
H2CO,52.92,51.88235294117647
H2CO,52.7,51.870078740157474
H2CO,52.5,51.87747035573123
H2CO,52.300000000000004,51.88492063492064
H2CO,52.059999999999995,51.852589641434264
H2CO,51.85999999999999,51.85999999999999
H2CO,51.68000000000001,51.88755020080321
H2CO,51.44,51.85483870967742
H2CO,51.18000000000001,51.801619433198375
H2CO,50.980000000000004,51.80894308943089
H2CO,50.78,51.816326530612244
H2CO,50.56,51.80327868852459
H2CO,50.46000000000001,51.91358024691358
H2CO,50.2,51.85950413223141
H2CO,50.06,51.92946058091287
H2CO,49.8,51.87500000000001
H2CO,49.62,51.90376569037657
H2CO,49.46,51.95378151260505
H2CO,49.28,51.983122362869196
H2CO,49.04,51.94915254237288
H2CO,48.86,51.97872340425532
H2CO,48.6,51.92307692307693
H2CO,48.42,51.952789699570815
H2CO,48.3,52.047413793103445
H2CO,48.120000000000005,52.07792207792208
H2CO,47.9,52.06521739130435
H2CO,47.660000000000004,52.030567685589524
H2CO,47.32,51.8859649122807
H2CO,47.12,51.8942731277533
H2CO,46.92,51.902654867256636
H2CO,46.760000000000005,51.955555555555556
H2CO,46.62,52.03124999999999
H2CO,46.379999999999995,51.99551569506726
H2CO,46.160000000000004,51.98198198198198
H2CO,45.98,52.01357466063349
H2CO,45.739999999999995,51.97727272727273
H2CO,45.440000000000005,51.87214611872146
H2CO,45.28,51.92660550458715
H2CO,45.08,51.935483870967744
H2CO,44.84,51.89814814814815
H2CO,44.62,51.883720930232556
H2CO,44.4,51.86915887850467
H2CO,44.16,51.83098591549295
H2CO,44.019999999999996,51.910377358490564
H2CO,43.86,51.96682464454976
H2CO,43.72,52.047619047619044
H2CO,43.480000000000004,52.00956937799043
H2CO,43.32,52.06730769230769
H2CO,43.14,52.10144927536232
H2CO,42.9,52.06310679611651
H2CO,42.74,52.1219512195122
H2CO,42.54,52.13235294117647
H2CO,42.38,52.19211822660098
H2CO,42.16,52.178217821782184
H2CO,41.94,52.16417910447761
H2CO,41.74,52.175000000000004
H2CO,41.58,52.23618090452261
H2CO,41.32,52.17171717171717
H2CO,41.14,52.20812182741117
H2CO,40.92,52.19387755102041
H2CO,40.739999999999995,52.23076923076923
H2CO,40.54,52.24226804123712
H2CO,40.28,52.17616580310881
H2CO,40.1,52.213541666666664
H2CO,39.900000000000006,52.22513089005235
H2CO,39.7,52.23684210526316
H2CO,39.4,52.116402116402114
H2CO,39.24,52.18085106382979
H2CO,39.019999999999996,52.16577540106952
H2CO,38.78,52.123655913978496
H2CO,38.58,52.13513513513514
H2CO,38.36,52.119565217391305
H2CO,38.2,52.18579234972678
H2CO,38.04,52.252747252747255
H2CO,37.84,52.26519337016574
H2CO,37.7,52.361111111111114
H2CO,37.4,52.23463687150838
H2CO,37.2,52.24719101123596
H2CO,37.04,52.31638418079096
H2CO,36.84,52.32954545454545
H2CO,36.6,52.28571428571429
H2CO,36.4,52.29885057471264
H2CO,36.18,52.28323699421965
H2CO,36.0,52.32558139534884
H2CO,35.78,52.30994152046784
H2CO,35.6,52.352941176470594
H2CO,35.4,52.366863905325445
H2CO,35.22,52.41071428571429
H2CO,35.06,52.485029940119766
H2CO,34.92,52.59036144578313
H2CO,34.660000000000004,52.515151515151516
H2CO,34.42,52.46951219512195
H2CO,34.160000000000004,52.392638036809814
H2CO,33.96,52.407407407407405
H2CO,33.78,52.453416149068325
H2CO,33.58,52.46875
H2CO,33.42,52.54716981132076
H2CO,33.2,52.53164556962025
H2CO,33.0,52.547770700636946
H2CO,32.84,52.62820512820513
H2CO,32.64,52.645161290322584
H2CO,32.379999999999995,52.56493506493507
H2CO,32.16,52.54901960784314
H2CO,31.96,52.56578947368421
H2CO,31.740000000000002,52.549668874172184
H2CO,31.580000000000002,52.63333333333333
H2CO,31.36,52.61744966442953
H2CO,31.14,52.601351351351354
H2CO,30.9,52.55102040816326
H2CO,30.64,52.465753424657535
H2CO,30.44,52.48275862068965
H2CO,30.220000000000002,52.46527777777777
H2CO,30.04,52.51748251748252
H2CO,29.84,52.53521126760563
H2CO,29.580000000000002,52.4468085106383
H2CO,29.360000000000003,52.42857142857142
H2CO,29.14,52.410071942446045
H2CO,28.939999999999998,52.427536231884055
H2CO,28.7,52.37226277372263
H2CO,28.46,52.31617647058824
H2CO,28.22,52.25925925925926
H2CO,28.060000000000002,52.350746268656714
H2CO,27.900000000000002,52.443609022556394
H2CO,27.74,52.53787878787879
H2CO,27.500000000000004,52.48091603053435
H2CO,27.32,52.53846153846153
H2CO,27.08,52.48062015503876
H2CO,26.939999999999998,52.61718749999999
H2CO,26.82,52.795275590551185
H2CO,26.68,52.93650793650794
H2CO,26.5,53.0
H2CO,26.32,53.064516129032256
H2CO,26.119999999999997,53.08943089430894
H2CO,25.919999999999998,53.11475409836065
H2CO,25.679999999999996,53.05785123966942
H2CO,25.44,53.0
H2CO,25.3,53.15126050420168
H2CO,25.080000000000002,53.13559322033898
H2CO,24.9,53.205128205128204
H2CO,24.66,53.146551724137936
H2CO,24.46,53.17391304347826
H2CO,24.279999999999998,53.24561403508772
H2CO,24.060000000000002,53.230088495575224
H2CO,23.880000000000003,53.30357142857143
H2CO,23.66,53.288288288288285
H2CO,23.400000000000002,53.18181818181819
H2CO,23.26,53.34862385321101
H2CO,23.080000000000002,53.425925925925924
H2CO,22.88,53.45794392523364
H2CO,22.66,53.443396226415096
H2CO,22.42,53.38095238095239
H2CO,22.2,53.36538461538461
H2CO,22.0,53.398058252427184
H2CO,21.740000000000002,53.28431372549019
H2CO,21.58,53.41584158415842
H2CO,21.36,53.400000000000006
H2CO,21.16,53.43434343434343
H2CO,20.96,53.46938775510204
H2CO,20.82,53.65979381443299
H2CO,20.599999999999998,53.645833333333336
