elevation_deg,geometry,target,apparent_elevation_deg,atmospheric_path_m,total_path_m,peak_db_per_ug_m3,rms_db_per_ug_m3
45,plane_parallel,SO2,45.0,28284.271247461904,749108.7736298647,0.00025729398778931336,6.548030179057051e-05
45,plane_parallel,NO2,45.0,28284.271247461904,749108.7736298647,9.788587462201438e-06,2.3194124291845213e-06
45,plane_parallel,CH4,45.0,28284.271247461904,749108.7736298647,8.630015444755035e-11,1.53596440733602e-11
45,spherical,H2CO,45.00000000000001,28240.152687358837,749108.7736298648,0.0009470059077420503,0.00017010857450145488
45,spherical,CH3OH,45.00000000000001,28240.152687358837,749108.7736298648,0.00034532147682896254,7.138919678280488e-05
45,spherical,CH3CN,45.00000000000001,28240.152687358837,749108.7736298648,0.0033779387681340148,0.001000091146917323
45,spherical,CO,45.00000000000001,28240.152687358837,749108.7736298648,9.03460247964631e-06,9.130949475472919e-07
45,spherical,O3,45.00000000000001,28240.152687358837,749108.7736298648,2.7542515938156417e-05,7.049413117341952e-06
45,spherical,SO2,45.00000000000001,28240.152687358837,749108.7736298648,0.0002572212528847507,6.54637718217286e-05
45,spherical,NO2,45.00000000000001,28240.152687358837,749108.7736298648,9.785881882820776e-06,2.31881048480411e-06
45,spherical,CH4,45.00000000000001,28240.152687358837,749108.7736298648,8.62808723067877e-11,1.5356524130316353e-11
45,refracted,H2CO,45.01742210817304,28237.13121419223,749108.7738870933,0.0009467757127879252,0.00017006646273549981
45,refracted,CH3OH,45.01742210817304,28237.13121419223,749108.7738870933,0.0003452375149512016,7.137147974918784e-05
45,refracted,CH3CN,45.01742210817304,28237.13121419223,749108.7738870933,0.003377113818288444,0.0009998424221963303
45,refracted,CO,45.01742210817304,28237.13121419223,749108.7738870933,9.03240773638345e-06,9.128700724910098e-07
45,refracted,O3,45.01742210817304,28237.13121419223,749108.7738870933,2.7535726369757843e-05,7.04765206323078e-06
45,refracted,SO2,45.01742210817304,28237.13121419223,749108.7738870933,0.0002571582984190269,6.544742563763901e-05
45,refracted,NO2,45.01742210817304,28237.13121419223,749108.7738870933,9.783477104823044e-06,2.318234263879513e-06
45,refracted,CH4,45.01742210817304,28237.13121419223,749108.7738870933,8.62589014872639e-11,1.5352557739488262e-11
