altitude_m,temperature_k,pressure_pa,water_number_density_cm3,refractive_index,radial_weight_m,path_weight_m
7105.662432702594,244.1631941874331,40551.47132238843,6409874932252236.0,1.0001302350210333,250.0,353.1163396036168
7394.337567297406,242.28680581256683,38940.13524475581,5548358909748849.0,1.0001258994194724,250.0,353.1019614587494
7605.662432702594,240.9131941874331,37793.749586772115,4992015616627810.0,1.000122805553433,250.0,353.0914101443996
7894.337567297406,239.03680581256683,36272.06957710055,4321066263673609.5,1.0001186848512416,250.0,353.07696288306704
8105.662432702594,237.6631941874331,35189.889842727134,3887785671334418.5,1.00011574332218,250.0,353.06636274785234
8394.337567297407,235.78680581256683,33753.99866846812,3365249789852435.5,1.0001118244210627,250.0,353.0518510418961
8605.662432702593,234.4131941874331,32733.23691486386,3027810525249035.5,1.000109026311676,250.0,353.04120526798187
8894.337567297407,232.53680581256683,31379.384479788412,2620859171567957.5,1.0001052978444274,250.0,353.0266331758123
9105.662432702593,231.1631941874331,30417.337780314178,2358061208055790.5,1.0001026353689597,250.0,353.0159445442834
9394.337567297407,229.28680581256683,29141.88912230568,2041127175136998.5,1.0000990873506324,250.0,353.0013156342165
9605.662432702593,227.9131941874331,28235.938103386776,1836459915364152.5,1.0000965536283757,250.0,352.99058660515175
9894.337567297407,226.03680581256683,27035.371399301283,1589631442345019.0,1.0000931771816344,250.0,352.97590405249645
10105.662432702593,224.66319418743313,26182.978782490827,1430236420164848.0,1.0000907660585796,250.0,352.9651368280084
10394.337567297407,222.78680581256683,25053.883360158798,1238006212093227.5,1.0000875531974187,250.0,352.950403491506
10605.662432702593,221.41319418743313,24252.59250945589,1113869244001626.4,1.0000852591057958,250.0,352.93960006537844
10894.337567297407,219.53680581256683,23191.666866900716,964160207425469.2,1.0000822025651845,250.0,352.9248185474006
11105.662432702593,218.84999999999997,22439.68231510285,867482239467620.4,1.0000797713502896,250.0,352.9140679996301
11394.337567297407,218.84999999999997,21450.942241456883,750888724549243.6,1.0000762379752806,250.0,352.8994601074665
