pilots,sigma,quantile,scenario,gas,bias_ratio,sd_ratio,rmse_ratio
30000,0.001,0.5,temperature_plus_5K,SO2,-2.9966990194068828,0.5986488638289015,3.055909925877693
30000,0.001,0.5,temperature_plus_5K,NO2,-6.2445445618265225,12.545563587161741,14.013761183356728
30000,0.001,0.5,pressure_minus_2000Pa,CO,-0.024159431193743364,0.10180840440456718,0.1046356981293149
30000,0.001,0.5,pressure_minus_2000Pa,O3,-0.8542593406523997,1.2902010492217553,1.5473777071241497
30000,0.001,0.5,pressure_minus_2000Pa,SO2,-1.0438502861033419,0.5986488638289015,1.2033303295278746
30000,0.001,0.5,pressure_minus_2000Pa,NO2,-2.766878825128538,12.545563587161741,12.847053520261495
30000,0.001,0.5,height_1200m,CO,-0.05187180142502522,0.10180840440456718,0.11426125760939769
30000,0.001,0.5,height_1200m,O3,-0.11631706869690482,1.2902010492217553,1.2954336756017881
30000,0.001,0.5,height_1200m,SO2,-0.048376301466136244,0.5986488638289015,0.6006003069489534
30000,0.001,0.5,height_1200m,NO2,-0.3304001708535634,12.545563587161741,12.549913545216901
30000,0.001,0.5,combined,CO,-0.4753395841704262,0.10180840440456718,0.48612001757458784
30000,0.001,0.5,combined,O3,0.8411421672801107,1.2902010492217553,1.5401749553182587
30000,0.001,0.5,combined,SO2,-3.9717408389066957,0.5986488638289015,4.016603758600405
30000,0.001,0.5,combined,NO2,-9.18753876996329,12.545563587161741,15.549985027938037
30000,0.001,0.95,matched,CO,2.6265621720018397e-15,0.10180840440456718,0.10180840440456718
30000,0.001,0.95,matched,O3,3.4562553614354366e-14,1.2902010492217553,1.2902010492217553
30000,0.001,0.95,matched,SO2,-2.030006190435968e-14,0.5986488638289015,0.5986488638289015
30000,0.001,0.95,matched,NO2,2.488350630965324e-14,12.545563587161741,12.545563587161741
30000,0.001,0.95,temperature_plus_5K,CO,-0.4264628737081755,0.10180840440456718,0.4384467286442438
30000,0.001,0.95,temperature_plus_5K,O3,1.753299696922631,1.2902010492217553,2.1768506091695654
30000,0.001,0.95,temperature_plus_5K,SO2,-3.041226197557549,0.5986488638289015,3.0995866251605197
30000,0.001,0.95,temperature_plus_5K,NO2,-6.449157357830089,12.545563587161741,14.106126199122583
30000,0.001,0.95,pressure_minus_2000Pa,CO,-0.017106976711461885,0.10180840440456718,0.10323565207625897
30000,0.001,0.95,pressure_minus_2000Pa,O3,-0.8414857183103553,1.2902010492217553,1.540362607158851
30000,0.001,0.95,pressure_minus_2000Pa,SO2,-1.0294225983645022,0.5986488638289015,1.1908364069792114
30000,0.001,0.95,pressure_minus_2000Pa,NO2,-2.905557077770295,12.545563587161741,12.87763284348873
30000,0.001,0.95,height_1200m,CO,-0.18437387907668223,0.10180840440456718,0.21061500063667576
30000,0.001,0.95,height_1200m,O3,-0.43270011134205216,1.2902010492217553,1.3608262687677448
30000,0.001,0.95,height_1200m,SO2,-0.3891040099826358,0.5986488638289015,0.7139904710486
30000,0.001,0.95,height_1200m,NO2,-0.7593325267494144,12.545563587161741,12.568522252265707
30000,0.001,0.95,combined,CO,-0.6144429822164192,0.10180840440456718,0.6228203028180848
30000,0.001,0.95,combined,O3,0.49301405095098594,1.2902010492217553,1.3811884744118088
30000,0.001,0.95,combined,SO2,-4.3351586014641565,0.5986488638289015,4.376297586089444
30000,0.001,0.95,combined,NO2,-9.889911503429126,12.545563587161741,15.975027864300529
