pilots,sigma,quantile,scenario,gas,bias_ratio,sd_ratio,rmse_ratio
30,0.001,0.95,pressure_minus_2000Pa,CO,-0.017875253699040194,3.1440257822805484,3.1440765964492052
30,0.001,0.95,pressure_minus_2000Pa,O3,-0.8230497770132306,39.51911238233366,39.52768212813596
30,0.001,0.95,pressure_minus_2000Pa,SO2,-0.9909087025561307,18.404456009455913,18.431112312087933
30,0.001,0.95,pressure_minus_2000Pa,NO2,-2.8562193222405714,383.6898817178676,383.70051253743196
30,0.001,0.95,height_1200m,CO,-0.18434857338103133,3.1440257822805484,3.1494257438702116
30,0.001,0.95,height_1200m,O3,-0.43211724222480763,39.51911238233366,39.52147478015649
30,0.001,0.95,height_1200m,SO2,-0.38919618997541683,18.404456009455913,18.408570685370695
30,0.001,0.95,height_1200m,NO2,-0.7603715259124314,383.6898817178676,383.6906351444203
30,0.001,0.95,combined,CO,-0.6123407443394324,3.1440257822805484,3.2031015136618737
30,0.001,0.95,combined,O3,0.4296866188832076,39.51911238233366,39.521448279104916
30,0.001,0.95,combined,SO2,-4.237730337248296,18.404456009455913,18.88603609588927
30,0.001,0.95,combined,NO2,-9.08178881744712,383.6898817178676,383.797347855344
300,0.0,0.5,matched,CO,6.809957089416292e-15,0.9942040004596698,0.9942040004596698
300,0.0,0.5,matched,O3,-2.674424684981428e-14,12.496626317934814,12.496626317934814
300,0.0,0.5,matched,SO2,1.425244686530459e-14,5.81982845660953,5.81982845660953
300,0.0,0.5,matched,NO2,-2.7747911638842666e-13,121.32916905440207,121.32916905440207
300,0.0,0.5,temperature_plus_5K,CO,-0.4076092918819989,0.9942040004596698,1.0745170679698652
300,0.0,0.5,temperature_plus_5K,O3,1.7242950618597224,12.496626317934814,12.615025279025597
300,0.0,0.5,temperature_plus_5K,SO2,-2.934425686768538,5.81982845660953,6.517764753006131
300,0.0,0.5,temperature_plus_5K,NO2,-5.474945795101245,121.32916905440207,121.45263395616817
300,0.0,0.5,pressure_minus_2000Pa,CO,-0.024914619661606685,0.9942040004596698,0.9945161299862832
300,0.0,0.5,pressure_minus_2000Pa,O3,-0.8355356027370606,12.496626317934814,12.524527499013375
300,0.0,0.5,pressure_minus_2000Pa,SO2,-1.005375729746814,5.81982845660953,5.9060294295174325
300,0.0,0.5,pressure_minus_2000Pa,NO2,-2.717626888068912,121.32916905440207,121.35960101835549
300,0.0,0.5,height_1200m,CO,-0.05186353733104709,0.9942040004596698,0.9955558352169406
300,0.0,0.5,height_1200m,O3,-0.11614483903515278,12.496626317934814,12.497166036895546
300,0.0,0.5,height_1200m,SO2,-0.048404531654358554,5.81982845660953,5.820029747608404
300,0.0,0.5,height_1200m,NO2,-0.33111468863111004,121.32916905440207,121.32962086963227
300,0.0,0.5,combined,CO,-0.4732310461367255,0.9942040004596698,1.1010854724124148
300,0.0,0.5,combined,O3,0.7776508136973574,12.496626317934814,12.52079910062234
300,0.0,0.5,combined,SO2,-3.874327817867554,5.81982845660953,6.9914819104868196
300,0.0,0.5,combined,NO2,-8.378758217096205,121.32916905440207,121.6181353774684
300,0.0,0.95,matched,CO,2.565621884406539e-15,0.9942040004596698,0.9942040004596698
300,0.0,0.95,matched,O3,3.446412964266755e-14,12.496626317934814,12.496626317934814
300,0.0,0.95,matched,SO2,-2.036191090577103e-14,5.81982845660953,5.81982845660953
300,0.0,0.95,matched,NO2,2.3630336924309066e-14,121.32916905440207,121.32916905440207
300,0.0,0.95,temperature_plus_5K,CO,-0.4236626713446322,0.9942040004596698,1.080708866263658
300,0.0,0.95,temperature_plus_5K,O3,1.6697500503658664,12.496626317934814,12.607685535450107
300,0.0,0.95,temperature_plus_5K,SO2,-2.9788033170657364,5.81982845660953,6.537864518795407
