model,pilots,residual_std_db,rho,gas,predicted_sd_ratio,empirical_rmse_ratio,deterministic_bias_allowance_db,independent_fit_actual_sd_ratio,pilot_time_lower_bound_s,pilot_energy_lower_bound_j
power,30000,0.001,0.9,O3,7.500317553110691,7.4797137312357105,,7.500389657029289,0.03,0.005985786944906639
power,30000,0.001,0.9,SO2,2.841100090871155,2.799276693044316,,2.841124493528909,0.03,0.005985786944906639
power,30000,0.001,0.9,NO2,73.36714024881492,74.08105051790893,,73.36784424078336,0.03,0.005985786944906639
power,30000,0.01,0.0,CO,0.5734834944090917,0.5670391205112618,0.005677262673235356,0.5734834944090917,0.03,0.005985786944906639
power,30000,0.01,0.0,O3,8.028872348400789,8.006814036003084,,8.028872348400789,0.03,0.005985786944906639
power,30000,0.01,0.0,SO2,3.036056207006087,2.9914834002283643,,3.036056207006087,0.03,0.005985786944906639
power,30000,0.01,0.0,NO2,78.57820421904133,79.34892758072307,,78.57820421904133,0.03,0.005985786944906639
power,30000,0.01,0.9,CO,0.6154569955950906,0.6075709841247413,0.005876888628799584,0.641870908895841,0.03,0.005985786944906639
power,30000,0.01,0.9,O3,8.982009379577255,8.946410867347804,,9.334502509157044,0.03,0.005985786944906639
power,30000,0.01,0.9,SO2,3.2937375626017675,3.2479408021722413,,3.408997846427859,0.03,0.005985786944906639
power,30000,0.01,0.9,NO2,81.57113824281751,82.48010558204395,,84.70124004808056,0.03,0.005985786944906639
coherent,30,0.0,0.0,CO,3.143949100303361,3.1025415084473313,,3.143949100303361,3e-05,5.985786944906639e-06
coherent,30,0.0,0.0,O3,39.517802232683216,39.414488231923855,,39.517802232683216,3e-05,5.985786944906639e-06
coherent,30,0.0,0.0,SO2,18.403913514346574,18.190425085649018,,18.403913514346574,3e-05,5.985786944906639e-06
coherent,30,0.0,0.0,NO2,383.67652082756615,385.52267940168485,,383.67652082756615,3e-05,5.985786944906639e-06
coherent,30,0.0,0.9,CO,3.143949100303361,3.1025415084473313,,3.143949100303361,3e-05,5.985786944906639e-06
coherent,30,0.0,0.9,O3,39.517802232683216,39.414488231923855,,39.517802232683216,3e-05,5.985786944906639e-06
coherent,30,0.0,0.9,SO2,18.403913514346574,18.190425085649018,,18.403913514346574,3e-05,5.985786944906639e-06
coherent,30,0.0,0.9,NO2,383.67652082756615,385.52267940168485,,383.67652082756615,3e-05,5.985786944906639e-06
coherent,30,0.001,0.0,CO,3.1440257822805484,3.1026174716441597,,3.1440257822805484,3e-05,5.985786944906639e-06
coherent,30,0.001,0.0,O3,39.51911238233366,39.41579801061889,,39.51911238233366,3e-05,5.985786944906639e-06
coherent,30,0.001,0.0,SO2,18.404456009455913,18.190954670655618,,18.404456009455913,3e-05,5.985786944906639e-06
coherent,30,0.001,0.0,NO2,383.6898817178676,385.53613530544715,,383.6898817178676,3e-05,5.985786944906639e-06
coherent,30,0.001,0.9,CO,3.144249375335472,3.1028360905405417,,3.1442494536467795,3e-05,5.985786944906639e-06
coherent,30,0.001,0.9,O3,39.52244903251137,39.41913789785207,,39.52244976678873,3e-05,5.985786944906639e-06
coherent,30,0.001,0.9,SO2,18.406028508789955,18.192511831513254,,18.40602899296607,3e-05,5.985786944906639e-06
coherent,30,0.001,0.9,NO2,383.70474414789453,385.5515093730778,,383.7047500804833,3e-05,5.985786944906639e-06
coherent,30,0.01,0.0,CO,3.1516053754001194,3.110125977021144,,3.1516053754001194,3e-05,5.985786944906639e-06
coherent,30,0.01,0.0,O3,39.648526454082116,39.545174879264465,,39.648526454082116,3e-05,5.985786944906639e-06
