band,draw,target,truth_ug_m3,nonlinear_estimate_ug_m3,signed_gls_ug_m3,success,active_bound,cost,evaluations
multiband_reference,9,CH3CN,1.0,3.7627820169246204,3.50631106068636,True,0,161.8273967469293,10
multiband_reference,9,PM2.5,49.0,999.9999999981382,-28134945.858949207,True,1,161.8273967469293,10
multiband_reference,9,PMcoarse,41.0,999.9999999999296,34533133.84028673,True,1,161.8273967469293,10
multiband_reference,10,H2CO,1.0,9.332928296332467,14.53871338244077,True,0,173.64989521495565,8
multiband_reference,10,CH3OH,1.0,5.683891711760008e-31,-61.0582061167021,True,-1,173.64989521495565,8
multiband_reference,10,CH3CN,1.0,5.163446392164746e-25,-1.8505537958426201,True,-1,173.64989521495565,8
multiband_reference,10,PM2.5,49.0,5.699381048538094e-12,86856905.1314524,True,-1,173.64989521495565,8
multiband_reference,10,PMcoarse,41.0,2.8330392353803305e-18,-106596643.69971278,True,-1,173.64989521495565,8
multiband_reference,11,H2CO,1.0,5.885126223045484e-25,-5.293420960893454,True,-1,174.53573117518212,8
multiband_reference,11,CH3OH,1.0,13.760194568084431,13.360391721896873,True,0,174.53573117518212,8
multiband_reference,11,CH3CN,1.0,4.033114132809984,4.283523180333856,True,0,174.53573117518212,8
multiband_reference,11,PM2.5,49.0,2.213972599950922e-14,26728985.690579653,True,-1,174.53573117518212,8
multiband_reference,11,PMcoarse,41.0,5.471398000956467e-20,-32804304.26399144,True,-1,174.53573117518212,8
multiband_reference,12,H2CO,1.0,1.348395620163212,21.668370915416574,True,0,176.03972729143996,10
multiband_reference,12,CH3OH,1.0,1.970127637974263e-24,-24.792828323523075,True,-1,176.03972729143996,10
multiband_reference,12,CH3CN,1.0,2.7685101396740817,4.121298365736756,True,0,176.03972729143996,10
multiband_reference,12,PM2.5,49.0,5.564917955466082e-12,329797071.8846575,True,-1,176.03972729143996,10
multiband_reference,12,PMcoarse,41.0,2.7789212625334366e-18,-404772752.0797995,True,-1,176.03972729143996,10
multiband_reference,13,H2CO,1.0,1.3385371329406593e-22,-22.02765484364326,True,-1,170.01564298717702,8
multiband_reference,13,CH3OH,1.0,2.824729380284531e-19,-32.48793557455596,True,-1,170.01564298717702,8
multiband_reference,13,CH3CN,1.0,6.751924385519963e-24,-3.901985795432771,True,-1,170.01564298717702,8
multiband_reference,13,PM2.5,49.0,999.9999999999998,-139154403.53885716,True,1,170.01564298717702,8
multiband_reference,13,PMcoarse,41.0,999.9999999999998,170833421.66531253,True,1,170.01564298717702,8
multiband_reference,14,H2CO,1.0,6.323830477070508e-23,-9.562533489212843,True,-1,160.39097621826733,7
multiband_reference,14,CH3OH,1.0,48.12300990026275,48.291231561085134,True,0,160.39097621826733,7
multiband_reference,14,CH3CN,1.0,2.201846716854382,2.1312786230314273,True,0,160.39097621826733,7
multiband_reference,14,PM2.5,49.0,1.8212704399653442e-17,-55542451.86276728,True,-1,160.39097621826733,7
multiband_reference,14,PMcoarse,41.0,3.657555876413919e-11,68164892.10329469,True,-1,160.39097621826733,7
multiband_reference,15,H2CO,1.0,6.668589082716808,6.625906778831714,True,0,172.55332152283765,9
multiband_reference,15,CH3OH,1.0,16.44930911875503,16.018168252899905,True,0,172.55332152283765,9
multiband_reference,15,CH3CN,1.0,2.0826525429844765e-16,-0.8264367680142717,True,-1,172.55332152283765,9
multiband_reference,15,PM2.5,49.0,2.745694356162624e-23,-28706114.51558906,True,-1,172.55332152283765,9
multiband_reference,15,PMcoarse,41.0,3.699106400380164e-20,35205203.03649694,True,-1,172.55332152283765,9
multiband_reference,16,H2CO,1.0,1.3464603959438029e-12,4.25202543379695,True,-1,161.97730258893353,9
multiband_reference,16,CH3OH,1.0,26.717002347655104,26.883538696041185,True,0,161.97730258893353,9
multiband_reference,16,CH3CN,1.0,0.04988395694762296,0.7266792762958647,True,0,161.97730258893353,9
multiband_reference,16,PM2.5,49.0,1.3946840787946553e-15,63006007.8395388,True,-1,161.97730258893353,9
multiband_reference,16,PMcoarse,41.0,6.134732670839325e-22,-77352429.7193623,True,-1,161.97730258893353,9
multiband_reference,17,H2CO,1.0,3.220801752679262e-22,-12.49031317101159,True,-1,153.0734256481572,8
multiband_reference,17,CH3OH,1.0,5.102887710113249,3.6750559146216437,True,0,153.0734256481572,8
multiband_reference,17,CH3CN,1.0,2.30028535151002,2.024755826677107,True,0,153.0734256481572,8
multiband_reference,17,PM2.5,49.0,999.9999999999987,18732633.964989834,True,1,153.0734256481572,8
multiband_reference,17,PMcoarse,41.0,999.9999999999982,-22951173.867539063,True,1,153.0734256481572,8
multiband_reference,18,H2CO,1.0,2.8945519520093267e-14,0.9026980038148468,True,-1,157.41092217742695,8
multiband_reference,18,CH3OH,1.0,19.121175473340728,20.98623347190669,True,0,157.41092217742695,8
multiband_reference,18,CH3CN,1.0,0.8079720006905462,2.2743532351197704,True,0,157.41092217742695,8
multiband_reference,18,PM2.5,49.0,2.387541377162487e-14,6391387.8499704,True,-1,157.41092217742695,8
multiband_reference,18,PMcoarse,41.0,1.2290674376042505e-20,-7930648.584400877,True,-1,157.41092217742695,8
multiband_reference,19,H2CO,1.0,0.4526704920417497,5.769070462157158,True,0,157.7843375863427,8
multiband_reference,19,CH3OH,1.0,3.802795381598668,2.0163583002113836,True,0,157.7843375863427,8
multiband_reference,19,CH3CN,1.0,0.04947371640018276,-0.06335619694404732,True,0,157.7843375863427,8
multiband_reference,19,PM2.5,49.0,999.9999999999998,123761109.0365096,True,1,157.7843375863427,8
multiband_reference,19,PMcoarse,41.0,999.9999999999998,-151849297.23727402,True,1,157.7843375863427,8
