band,nuisance_policy,elapsed_s,residual_std_db,pilots,sensing_tones,within_ideal_pass_above_45deg,target,control,truth_ug_m3,bias_ug_m3,mae_ug_m3,rmse_ug_m3,p95_absolute_error_ug_m3,mae_pct_of_truth,rmse_pct_of_truth,within_20pct_of_truth_pct,negative_estimate_pct
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PM10,positive,90.0,-6983897.187139571,189953508.64614186,238340765.68498078,467331199.73521227,211059454.05126873,264823072.98331198,0.0,50.63999999999999
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PM10,absent,0.0,6400225.441257306,196004045.4466503,244300921.40461466,471770153.73185885,,,,48.96
multiband_reference,reference_calibration,0.1,0.001,300,170,True,H2CO,positive,1.0,2.102850829516838,99.04967018492327,124.48675082474928,240.89982996817503,9904.967018492327,12448.675082474929,0.08,48.699999999999996
multiband_reference,reference_calibration,0.1,0.001,300,170,True,H2CO,absent,0.0,-1.728916427270335,97.6286358354781,122.79111730355912,242.30158362144886,,,,51.06
multiband_reference,reference_calibration,0.1,0.001,300,170,True,CH3OH,positive,1.0,6.573879636575358,230.13254707236555,287.02739536812084,559.4310113548377,23013.254707236556,28702.739536812085,0.04,48.6
multiband_reference,reference_calibration,0.1,0.001,300,170,True,CH3OH,absent,0.0,-1.6597351868486427,227.58607498242614,283.92446116975367,556.6669999425865,,,,49.86
multiband_reference,reference_calibration,0.1,0.001,300,170,True,CH3CN,positive,1.0,0.21387960307718668,22.656473534416424,28.266822131765,54.705123805570246,2265.6473534416423,2826.6822131765,0.72,47.660000000000004
multiband_reference,reference_calibration,0.1,0.001,300,170,True,CH3CN,absent,0.0,-0.05376512024221379,22.56425976977463,28.29724205045892,56.18146033239582,,,,50.339999999999996
multiband_reference,reference_calibration,0.1,0.001,300,170,True,PM2.5,positive,49.0,30137639.82716146,835045041.5622642,1048040258.0864347,2059314283.791461,1704173554.2087026,2138857669.5641527,0.0,49.220000000000006
multiband_reference,reference_calibration,0.1,0.001,300,170,True,PM2.5,absent,0.0,-28541991.12079715,862450995.1013043,1075004771.8698282,2074574038.0096161,,,,51.06
multiband_reference,reference_calibration,0.1,0.001,300,170,True,PMcoarse,positive,41.0,-36991028.407752626,1024849174.0847156,1286258470.422103,2527741314.3353443,2499632131.9139404,3137215781.5173244,0.0,50.78
multiband_reference,reference_calibration,0.1,0.001,300,170,True,PMcoarse,absent,0.0,35021298.20695562,1058483941.6051363,1319348357.578521,2546327645.983925,,,,48.94
multiband_reference,reference_calibration,0.1,0.001,300,170,True,PM10,positive,90.0,-6853388.580591161,189804286.50256953,238218428.78667876,468104565.0898841,210893651.66952172,264687143.09630975,0.0,50.72
multiband_reference,reference_calibration,0.1,0.001,300,170,True,PM10,absent,0.0,6479307.086158466,196033110.06699458,244343796.58425328,471750324.4256381,,,,48.9
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,H2CO,positive,1.0,0.2110220816846038,9.898132074967334,12.437983386155654,24.27428626378737,989.8132074967334,1243.7983386155654,1.22,45.800000000000004
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,H2CO,absent,0.0,-0.15902179667014021,9.757484518196007,12.278263725527855,24.269393707660157,,,,50.8
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,CH3OH,positive,1.0,0.6617527481325342,23.01634988906006,28.710147588555028,56.188652700663674,2301.634988906006,2871.014758855503,0.64,47.08
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,CH3OH,absent,0.0,-0.15443180011207286,22.72842581851723,28.364672203914413,55.662513634863565,,,,49.84
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,CH3CN,positive,1.0,0.02175428024945682,2.266134390706078,2.826660422983437,5.4598278346557905,226.61343907060777,282.6660422983437,5.56,35.66
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,CH3CN,absent,0.0,-0.004369804846500875,2.2564567352101093,2.82911753897173,5.6183255612852365,,,,50.28
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,PM2.5,positive,49.0,3062108.131848632,83547764.95532869,104826452.16008809,205660442.26764312,170505642.7659769,213931535.02058795,0.0,49.3
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,PM2.5,absent,0.0,-2827192.4743124316,86233624.23065431,107483095.57310694,208002538.33940282,,,,51.1
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,PMcoarse,positive,41.0,-3758413.19273906,102538059.47132553,128653371.96774852,252413248.69142362,250092827.97884277,313788712.11645985,0.0,50.7
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,PMcoarse,absent,0.0,3468968.7509160833,105834336.11003806,131913486.22361572,255269810.23408452,,,,48.9
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,PM10,positive,90.0,-696305.060890429,18990295.675980005,23826941.446508005,46752806.42378062,21100328.52886667,26474379.385008898,0.0,50.72
multiband_reference,reference_calibration,10.0,0.0,30000,170,True,PM10,absent,0.0,641776.2766036507,19600729.17131493,24430411.70831534,47265381.29543518,,,,48.9
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,H2CO,positive,1.0,0.2265930282401161,10.3122481062451,12.959197994216641,25.095192037572716,1031.22481062451,1295.919799421664,1.1199999999999999,46.0
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,H2CO,absent,0.0,-0.29155542194597067,10.140339202510356,12.71894907705191,25.13956135702872,,,,50.72
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,CH3OH,positive,1.0,0.5722947996719967,23.78389933185452,29.59701708143233,57.14980245964317,2378.3899331854523,2959.701708143233,0.33999999999999997,47.86
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,CH3OH,absent,0.0,-0.23497456479863119,23.767975789405885,29.58176725531159,57.45381491985396,,,,49.64
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,CH3CN,positive,1.0,0.024993834441436255,2.2986832314793695,2.8667884603997926,5.564476233901059,229.86832314793696,286.67884603997925,5.74,35.92
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,CH3CN,absent,0.0,-0.007715380370856303,2.2861516466257146,2.871372653216375,5.6740204397494995,,,,50.839999999999996
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,PM2.5,positive,49.0,2552703.856846172,86700448.0044922,108905864.02146086,213543208.02847597,176939689.8050861,222256865.34992012,0.0,49.480000000000004
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,PM2.5,absent,0.0,-3075201.5016769655,90235334.00297514,112389737.89378946,217633925.41828352,,,,51.18000000000001
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,PMcoarse,positive,41.0,-3133362.347594062,106406221.30070476,133658229.6010067,262019477.55605158,259527369.0261092,325995681.95367485,0.0,50.54
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,PMcoarse,absent,0.0,3773510.163016095,110743621.39478758,137933689.90408412,267131901.85746244,,,,48.82
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,PM10,positive,90.0,-580658.4907478902,19705778.55251753,24752388.91400914,48520289.86978997,21895309.502797253,27502654.34889904,0.0,50.519999999999996
multiband_reference,reference_calibration,10.0,0.001,30000,170,True,PM10,absent,0.0,698308.6613391287,20508287.391812436,25543974.887661587,49496129.2451958,,,,48.82
multiband_reference,reference_calibration,1800.0,0.0,5400000,170,False,H2CO,positive,1.0,0.01573791048406839,0.7377809436668835,0.92706842451102,1.8095836101947167,73.77809436668835,92.706842451102,17.119999999999997,13.96
multiband_reference,reference_calibration,1800.0,0.0,5400000,170,False,H2CO,absent,0.0,-0.011852627630727206,0.7272936853683876,0.9151785181223291,1.810383497233667,,,,50.839999999999996
