molecule,isotopologue_id,parameter,uncertainty_code,lines,fraction_pct
H2O,2,intensity,3,31,88.57142857142857
H2O,2,intensity,5,2,5.714285714285714
H2O,2,intensity,4,1,2.857142857142857
H2O,2,intensity,6,1,2.857142857142857
H2O,2,air_width,4,24,68.57142857142857
H2O,2,air_width,2,7,20.0
H2O,2,air_width,5,3,8.571428571428571
H2O,2,air_width,6,1,2.857142857142857
H2O,2,self_width,2,27,77.14285714285714
H2O,2,self_width,4,6,17.142857142857142
H2O,2,self_width,3,2,5.714285714285714
H2O,2,temperature_exponent,4,11,31.428571428571427
H2O,2,temperature_exponent,6,8,22.857142857142858
H2O,2,temperature_exponent,3,6,17.142857142857142
H2O,2,temperature_exponent,5,6,17.142857142857142
H2O,2,temperature_exponent,8,3,8.571428571428571
H2O,2,temperature_exponent,2,1,2.857142857142857
H2O,2,pressure_shift,3,21,60.0
H2O,2,pressure_shift,6,6,17.142857142857142
H2O,2,pressure_shift,9,5,14.285714285714286
H2O,2,pressure_shift,1,2,5.714285714285714
H2O,2,pressure_shift,0,1,2.857142857142857
H2O,3,position,5,13,54.166666666666664
H2O,3,position,4,7,29.166666666666668
H2O,3,position,1,4,16.666666666666668
H2O,3,intensity,6,19,79.16666666666667
H2O,3,intensity,7,4,16.666666666666668
H2O,3,intensity,5,1,4.166666666666667
H2O,3,air_width,5,15,62.5
H2O,3,air_width,2,4,16.666666666666668
H2O,3,air_width,3,4,16.666666666666668
H2O,3,air_width,6,1,4.166666666666667
H2O,3,self_width,2,20,83.33333333333333
H2O,3,self_width,3,4,16.666666666666668
H2O,3,temperature_exponent,5,18,75.0
H2O,3,temperature_exponent,3,6,25.0
H2O,3,pressure_shift,3,18,75.0
H2O,3,pressure_shift,0,4,16.666666666666668
H2O,3,pressure_shift,4,2,8.333333333333334
H2O,4,position,5,127,92.02898550724638
H2O,4,position,4,10,7.246376811594203
H2O,4,position,6,1,0.7246376811594203
H2O,4,intensity,6,129,93.47826086956522
H2O,4,intensity,3,9,6.521739130434782
H2O,4,air_width,2,138,100.0
H2O,4,self_width,2,138,100.0
H2O,4,temperature_exponent,2,138,100.0
H2O,4,pressure_shift,0,82,59.42028985507246
H2O,4,pressure_shift,3,56,40.57971014492754
H2O,5,position,5,37,56.06060606060606
H2O,5,position,4,23,34.84848484848485
H2O,5,position,6,6,9.090909090909092
H2O,5,intensity,6,66,100.0
H2O,5,air_width,2,66,100.0
H2O,5,self_width,2,66,100.0
H2O,5,temperature_exponent,2,66,100.0
H2O,5,pressure_shift,0,51,77.27272727272727
H2O,5,pressure_shift,3,15,22.727272727272727
H2O,6,position,4,49,87.5
H2O,6,position,6,3,5.357142857142857
H2O,6,position,3,3,5.357142857142857
H2O,6,position,2,1,1.7857142857142858
H2O,6,intensity,6,56,100.0
H2O,6,air_width,2,56,100.0
H2O,6,self_width,2,56,100.0
H2O,6,temperature_exponent,2,56,100.0
H2O,6,pressure_shift,0,46,82.14285714285714
H2O,6,pressure_shift,3,10,17.857142857142858
H2O,7,position,5,39,48.75
H2O,7,position,4,39,48.75
H2O,7,position,3,1,1.25
H2O,7,position,6,1,1.25
H2O,7,intensity,6,41,51.25
H2O,7,intensity,3,39,48.75
H2O,7,air_width,2,80,100.0
H2O,7,self_width,5,30,37.5
H2O,7,self_width,4,29,36.25
H2O,7,self_width,2,21,26.25
H2O,7,temperature_exponent,2,80,100.0
H2O,7,pressure_shift,0,80,100.0
O2,1,position,7,28,62.22222222222222
O2,1,position,8,14,31.11111111111111
O2,1,position,6,3,6.666666666666667
O2,1,intensity,4,19,42.22222222222222
O2,1,intensity,5,13,28.88888888888889
O2,1,intensity,6,7,15.555555555555555
O2,1,intensity,7,5,11.11111111111111
O2,1,intensity,8,1,2.2222222222222223
O2,1,air_width,2,23,51.111111111111114
O2,1,air_width,6,22,48.888888888888886
O2,1,self_width,6,28,62.22222222222222
O2,1,self_width,2,11,24.444444444444443
O2,1,self_width,5,6,13.333333333333334
O2,1,temperature_exponent,2,45,100.0
O2,1,pressure_shift,0,45,100.0
O2,2,position,8,38,88.37209302325581
O2,2,position,7,5,11.627906976744185
O2,2,intensity,5,42,97.67441860465117
O2,2,intensity,6,1,2.3255813953488373
O2,2,air_width,2,22,51.16279069767442
O2,2,air_width,6,21,48.83720930232558
O2,2,self_width,6,26,60.46511627906977
O2,2,self_width,2,10,23.25581395348837
O2,2,self_width,5,7,16.27906976744186
O2,2,temperature_exponent,2,43,100.0
O2,2,pressure_shift,0,43,100.0
O2,3,position,6,390,43.624161073825505
O2,3,position,7,337,37.695749440715886
O2,3,position,8,167,18.680089485458613
O2,3,intensity,5,887,99.21700223713647
O2,3,intensity,4,7,0.7829977628635347
O2,3,air_width,2,622,69.57494407158836
O2,3,air_width,6,272,30.425055928411634
O2,3,self_width,2,433,48.43400447427293
O2,3,self_width,6,347,38.81431767337808
O2,3,self_width,5,105,11.74496644295302
O2,3,self_width,7,9,1.0067114093959733
O2,3,temperature_exponent,2,894,100.0
O2,3,pressure_shift,0,894,100.0
