band,nuisance_policy,elapsed_s,residual_std_db,pilots,sensing_tones,within_ideal_pass_above_45deg,target,standard_error_ug_m3,tp,fp,fn,tn,positive_draws,null_draws,precision_pct,recall_pct,false_positive_rate_pct,specificity_pct,accuracy_pct,f1_pct,evaluated_positive_prevalence_pct,precision_ci95_lower_pct,precision_ci95_upper_pct,recall_ci95_lower_pct,recall_ci95_upper_pct,false_positive_ci95_lower_pct,false_positive_ci95_upper_pct,average_precision_pct
multiband_reference,reference_calibration,1800.0,0.0,5400000,170,False,CH3OH,2.1357965643741825,36,9,4964,4991,5000,5000,80.0,0.72,0.18,99.82,50.27,1.4271555996035679,50.0,66.177030883858,89.10387319216872,0.5205395997454866,0.9951251039593437,0.09472935076811986,0.34176447103737206,62.76674501754067
multiband_reference,reference_calibration,1800.0,0.0,5400000,170,False,CH3CN,0.2106044788743317,4830,15,170,4985,5000,5000,99.69040247678018,96.6,0.3,99.7,98.15,98.12087353986796,50.0,99.48978597977039,99.81228526532813,96.06081286159285,97.06763731712785,0.18189297776376753,0.4944165955749107,99.95354214744813
multiband_reference,reference_calibration,1800.0,0.0,5400000,170,False,PM2.5,7899791.274601773,6,8,4994,4992,5000,5000,42.857142857142854,0.12,0.16,99.83999999999999,49.98,0.23932987634623054,50.0,21.380798904474123,67.40935542034926,0.055008316775915556,0.2615776292629832,0.08109751397282834,0.31542701591046596,50.92251847868854
multiband_reference,reference_calibration,1800.0,0.0,5400000,170,False,PMcoarse,9695372.308744684,8,9,4992,4991,5000,5000,47.05882352941176,0.16,0.18,99.82,49.99,0.31891568666533787,50.0,26.165106442409435,69.03676493999558,0.08109751397282834,0.31542701591046596,0.09472935076811986,0.34176447103737206,48.45017383600665
multiband_reference,reference_calibration,1800.0,0.0,5400000,170,False,PM10,1795582.6426198808,8,9,4992,4991,5000,5000,47.05882352941176,0.16,0.18,99.82,49.99,0.31891568666533787,50.0,26.165106442409435,69.03676493999558,0.08109751397282834,0.31542701591046596,0.09472935076811986,0.34176447103737206,48.45152718593002
multiband_reference,reference_calibration,1800.0,0.001,5400000,170,False,H2CO,2.554646015700265,34,1,4966,4999,5000,5000,97.14285714285714,0.6799999999999999,0.02,99.98,50.33,1.3505461767626614,50.0,85.46691276638632,99.49385081445557,0.48703334305700097,0.9486927768034339,0.0035305783439365263,0.11320890808397363,61.044936433508525
multiband_reference,reference_calibration,1800.0,0.001,5400000,170,False,CH3OH,6.028457971555952,11,9,4989,4991,5000,5000,55.00000000000001,0.22,0.18,99.82,50.02,0.43824701195219123,50.0,34.20853424503424,74.18021417443758,0.12289154071388131,0.3935408649360061,0.09472935076811986,0.34176447103737206,54.51958205067674
multiband_reference,reference_calibration,1800.0,0.001,5400000,170,False,CH3CN,0.42938515978210884,1374,9,3626,4991,5000,5000,99.34924078091106,27.48,0.18,99.82,63.65,43.051856493811684,50.0,98.76783525035762,99.65725806641798,26.260270696651954,28.734306598953417,0.09472935076811986,0.34176447103737206,94.92337177391178
multiband_reference,reference_calibration,1800.0,0.001,5400000,170,False,PM2.5,28687302.75784724,8,15,4992,4985,5000,5000,34.78260869565217,0.16,0.3,99.7,49.93,0.31853474019510253,50.0,18.81127593879773,55.109664622737,0.08109751397282834,0.31542701591046596,0.18189297776376753,0.4944165955749107,49.419625141542575
multiband_reference,reference_calibration,1800.0,0.001,5400000,170,False,PMcoarse,35201158.48700036,6,5,4994,4995,5000,5000,54.54545454545454,0.12,0.1,99.9,50.01,0.2394731590500898,50.0,28.009153740932202,78.72872837754024,0.055008316775915556,0.2615776292629832,0.042721349110879964,0.2338953050058211,50.10109503511515
