model,pilots,residual_std_db,gas,floor_over_reference_scale,probes
power,30000,0.63,CO,13.141286746547243,202
power,30000,0.63,O3,183.83002271309493,202
power,30000,0.63,SO2,68.43341098223577,202
power,30000,0.63,NO2,1788.522009697012,202
coherent,30,0.0,CO,3.1439491003029953,202
coherent,30,0.0,O3,39.51780223268397,202
coherent,30,0.0,SO2,18.403913514350506,202
coherent,30,0.0,NO2,383.6765208275576,202
coherent,30,0.001,CO,3.1440257822803224,202
coherent,30,0.001,O3,39.51911238233419,202
coherent,30,0.001,SO2,18.404456009450247,202
coherent,30,0.001,NO2,383.6898817178601,202
coherent,30,0.01,CO,3.151605375399823,202
coherent,30,0.01,O3,39.64852645408405,202
coherent,30,0.01,SO2,18.458002700754797,202
coherent,30,0.01,NO2,385.0093851851705,202
coherent,30,0.1,CO,3.8194624825861383,202
coherent,30,0.1,O3,50.537154065994194,202
coherent,30,0.1,SO2,22.73511501066351,202
coherent,30,0.1,NO2,494.7561726277796,202
coherent,30,0.63,CO,13.575200129337645,202
coherent,30,0.63,O3,190.0270366316156,202
coherent,30,0.63,SO2,72.58363202140029,202
coherent,30,0.63,NO2,1862.9841181300144,202
coherent,300,0.0,CO,0.9942040004597078,202
coherent,300,0.0,O3,12.49662631793627,202
coherent,300,0.0,SO2,5.819828456609518,202
coherent,300,0.0,NO2,121.32916905441024,202
coherent,300,0.001,CO,0.994446455777619,202
coherent,300,0.001,O3,12.500768535696809,202
coherent,300,0.001,SO2,5.821543513724298,202
coherent,300,0.001,NO2,121.37141058834747,202
coherent,300,0.01,CO,1.0180840440456678,202
coherent,300,0.01,O3,12.902010492216917,202
coherent,300,0.01,SO2,5.986488638288588,202
coherent,300,0.01,NO2,125.4556358715895,202
coherent,300,0.1,CO,2.338525771354773,202
coherent,300,0.1,O3,32.57820386525829,202
coherent,300,0.1,SO2,13.085817985905237,202
coherent,300,0.1,NO2,320.606884584578,202
coherent,300,0.63,CO,13.177217205323167,202
coherent,300,0.63,O3,184.3716145834108,202
coherent,300,0.63,SO2,68.83177094109189,202
coherent,300,0.63,NO2,1796.1121718911932,202
coherent,3000,0.0,CO,0.31439491003030295,202
coherent,3000,0.0,O3,3.951780223268651,202
coherent,3000,0.0,SO2,1.8403913514349508,202
coherent,3000,0.0,NO2,38.36765208275817,202
coherent,3000,0.001,CO,0.31516053754001316,202
coherent,3000,0.001,O3,3.964852645408114,202
coherent,3000,0.001,SO2,1.8458002700750302,202
coherent,3000,0.001,NO2,38.50093851851667,202
coherent,3000,0.01,CO,0.38194624825860374,202
coherent,3000,0.01,O3,5.053715406598805,202
coherent,3000,0.01,SO2,2.273511501066359,202
coherent,3000,0.01,NO2,49.4756172627764,202
coherent,3000,0.1,CO,2.113114430289221,202
coherent,3000,0.1,O3,29.577675126602713,202
coherent,3000,0.1,SO2,11.13244116355042,202
coherent,3000,0.1,NO2,288.9849128380654,202
coherent,3000,0.63,CO,13.135119176149711,202
coherent,3000,0.63,O3,183.7475855475511,202
coherent,3000,0.63,SO2,68.42064340523767,202
coherent,3000,0.63,NO2,1787.9415999907862,202
coherent,30000,0.0,CO,0.09942040004596413,202
coherent,30000,0.0,O3,1.2496626317935875,202
coherent,30000,0.0,SO2,0.5819828456608782,202
coherent,30000,0.0,NO2,12.132916905441702,202
coherent,30000,0.001,CO,0.10180840440456049,202
coherent,30000,0.001,O3,1.2902010492216784,202
coherent,30000,0.001,SO2,0.5986488638288153,202
coherent,30000,0.001,NO2,12.545563587160002,202
coherent,30000,0.01,CO,0.23385257713549384,202
coherent,30000,0.01,O3,3.2578203865264386,202
coherent,30000,0.01,SO2,1.3085817985908101,202
coherent,30000,0.01,NO2,32.06068845846217,202
coherent,30000,0.1,CO,2.087153656816613,202
coherent,30000,0.1,O3,29.19921972789726,202
coherent,30000,0.1,SO2,10.882096565471404,202
coherent,30000,0.1,NO2,284.2354973066861,202
coherent,30000,0.63,CO,13.130878459665148,202
coherent,30000,0.63,O3,183.68435234205884,202
coherent,30000,0.63,SO2,68.37905681787066,202
coherent,30000,0.63,NO2,1787.1007589345106,202
